accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.81625,0.8159368049697062,0.8184172272529906,0.81625,0.82353,1,0.8575,0.8083441981747066,0.8446866485013624,0.775,"[1189628, 1190398, 1245620, 1190838, 1088088, 1247487, 1188547, 1245597, 1088549, 1189264, 1247636, 1190228, 1246603, 1190366, 1088748, 1190025, 1245566, 1189101, 1088952, 1089794, 1245573, 1245560, 1087986, 1088427, 1247492, 1188850, 836633, 1247552, 1089025, 1245930, 836358, 1246526, 1246413, 1189003, 1088208, 1088072, 1088818, 1089196, 1189572, 1247148, 1089514, 1089157, 1089331, 1088480, 1089275, 1247235, 1247243, 836856, 1247051, 1245787, 1088809, 1189349, 1189841, 1188746, 1211147, 1247353, 1190873]","[901513, 906237, 889056, 905821, 901285, 906295, 889129, 901310, 901537, 1217588, 888966, 889306, 889124, 901097, 889345, 906052, 901564, 906011, 1160785, 889296, 889138, 905889, 906002, 901396, 889289, 901313, 889107, 1217582, 906307, 906138, 1217636, 889393, 1162880, 906243, 901284, 905945, 901511, 905839, 901529, 906029, 1160755, 1162820, 906315, 905868, 906238, 1217643, 1160742, 889386, 905968, 1162828, 889069, 901106, 1160750, 888901, 906284, 889079, 901436, 906273, 906282, 906055, 1162829, 901230, 906117, 906024, 1217608, 906110, 1217637, 889304, 905914, 889123, 906255, 901363, 888959, 905875, 888875, 905870, 905791, 901149, 889284, 905995, 888883, 889355, 905753, 901586, 906095, 888903, 889074, 905860, 889344, 1162813]","{'TTR': 0.10767496712174715, 'sentiment': 0.046469866756011176, 'NNS': 0.035835106796526406, 'mean_sen_len': 0.02114650533074076, 'said': 0.019446659116887508, 'is': 0.019125419323394083, 'lex_density': 0.01909599515582646, 'PRP': 0.016841285448181614, 'DT': 0.01682601116129011, 'VBZ': 0.016685368683988278}"
0.83,0.8297275641025641,0.8321256038647342,0.83,0.83654,1,0.87,0.8229166666666666,0.8586956521739131,0.79,"[1190224, 836856, 1246056, 1246101, 1247258, 1247269, 1247247, 1089281, 1088254, 1088333, 1088627, 1188469, 1089694, 1089844, 1088135, 1089239, 1246667, 1246989, 1246830, 1245313, 1188575, 1087989, 1247369, 1246988, 836626, 1188878, 1190384, 1190665, 1089382, 1089200, 1245799, 1245808, 1189164, 1247501, 1247516, 1088764, 1188588, 1188792, 1188470, 1189682, 1188735, 1189100, 1087888, 1246123, 1246964, 1245341, 1245597, 1189461, 1245596, 1190523, 1190234, 1245920]","[906024, 905831, 889051, 889000, 905975, 906114, 1217595, 906255, 905758, 906092, 906055, 906272, 889333, 1162877, 906312, 1219701, 901157, 889154, 889177, 901450, 901096, 889023, 906159, 889079, 901361, 906001, 889259, 889057, 905929, 889375, 1217572, 889033, 889287, 901531, 901327, 905882, 1160786, 889183, 1160781, 906346, 901038, 889125, 889195, 888902, 889032, 889345, 901214, 1162857, 905753, 905870, 889141, 906325, 906121, 889391, 901345, 889406, 905900, 1219671, 1162850, 901548, 901529, 901318, 888833, 889304, 901066, 906284, 906053, 906199, 901016, 1160750, 906093, 906074, 889114, 1217589, 905780, 906144, 888847, 889132, 906240, 889087, 889362, 1219105, 889360, 901342]","{'TTR': 0.10210915612569771, 'sentiment': 0.04308946158674599, 'NNS': 0.035180800057459355, 'lex_density': 0.023310817565314453, 'said': 0.018831510034008292, 'is': 0.018757699251773726, 'which': 0.018739050141853827, 'mean_sen_len': 0.018185030612633213, 'VBZ': 0.017475437930860437, 'DT': 0.017472001156438374}"
0.8275,0.827317604219457,0.828889558384173,0.8275,0.83293,1,0.86,0.8217054263565892,0.8502673796791443,0.795,"[1088428, 1247170, 1188896, 1246255, 1188838, 1190332, 1088232, 1088930, 1247171, 1089103, 1088200, 1245679, 1154361, 1246577, 1088780, 1189406, 1190776, 1245821, 1189732, 836617, 1089273, 1089039, 1189999, 1088058, 1245295, 1245932, 1188587, 1087945, 1088664, 1189059, 1088764, 1190199, 836902, 1089434, 1188814, 1188790, 1189559, 1246811, 1190531, 1246283, 1188936, 1188777, 1088053, 1247204, 1089572, 836777, 1189564, 1189003, 1088471, 1190442, 1190660, 1189835, 1246319, 1246478, 1188732, 1245722]","[888827, 901499, 888897, 905963, 901052, 889075, 889201, 889376, 905945, 906040, 889111, 906039, 1219726, 1219685, 901531, 901490, 889000, 905868, 906243, 905943, 888949, 1162871, 905947, 1217606, 906305, 906345, 901363, 901037, 888962, 901250, 906007, 906074, 889160, 889247, 888879, 906275, 906322, 906127, 1162813, 905998, 901057, 888939, 889265, 889139, 1219680, 906022, 901019, 1219665, 901401, 905916, 889138, 889155, 1160779, 901556, 889311, 905988, 906325, 906072, 905894, 905862, 905834, 1162852, 901540, 905746, 888959, 888891, 888844, 1160753, 901496, 905794, 906280, 901446, 906332, 901016, 888899, 889339, 1219144, 906307, 906159, 1217595, 906240, 1219105]","{'TTR': 0.10170091458738913, 'NNS': 0.040774925451575156, 'sentiment': 0.03864521700985076, 'mean_sen_len': 0.02067538385601574, 'is': 0.01853251912653847, 'lex_density': 0.018019910243686398, 'DT': 0.017646911225359444, 'VBZ': 0.017025815730902446, 'said': 0.016871084406206528, 'NN': 0.015941562763154785}"
0.81875,0.8184774325197679,0.8206760605889122,0.81875,0.82551,1,0.8575,0.811443433029909,0.8455284552845529,0.78,"[1246027, 1247623, 1188649, 1088120, 1087790, 1247057, 1190510, 1089370, 1190643, 1246468, 1188878, 1089572, 1190858, 1247539, 1190357, 1247435, 1089321, 1190672, 1188459, 1190689, 1245642, 1246890, 1246025, 1246102, 1245784, 836726, 1189659, 1245341, 1089343, 1246540, 1190563, 1088718, 1089693, 1189163, 1189029, 1089433, 1247510, 1247639, 1190224, 1246456, 1087917, 1247385, 836907, 1247170, 1245898, 1245475, 1245446, 1088276, 1190366, 1247164, 1246436, 1246463, 1188906, 1190356, 1189014, 1247104, 1088304]","[889344, 888893, 906088, 901365, 1219116, 888865, 905796, 1219711, 888875, 906191, 906077, 906195, 889000, 901531, 889351, 1162880, 889201, 889160, 889288, 906238, 889423, 901284, 906312, 905757, 1219665, 906224, 889020, 906127, 906073, 1160760, 901513, 889010, 901564, 901106, 906317, 901264, 901340, 905974, 888911, 906095, 888950, 889394, 1162877, 888959, 889077, 1219675, 1160785, 889074, 889095, 888909, 889427, 888821, 889139, 906005, 1160757, 905929, 905769, 901019, 889342, 889345, 889045, 1219726, 901558, 888999, 888956, 901438, 889111, 901507, 901170, 888826, 1219685, 906074, 906305, 1160791, 905960, 901446, 889304, 906156, 905787, 901418, 905795, 901253, 901540, 888904, 906069, 905905, 888935, 889213]","{'TTR': 0.11274618910203327, 'sentiment': 0.0420474809010863, 'NNS': 0.038715328487733375, 'said': 0.021856189343760605, 'lex_density': 0.01953082796569941, 'which': 0.019069351426675204, 'VBZ': 0.018420982458243643, 'DT': 0.017909039334115574, 'mean_sen_len': 0.017420666635552196, 'NN': 0.017180652906670337}"
0.80625,0.805329879508615,0.8121516164994427,0.80625,0.81871,1,0.875,0.7919463087248322,0.855072463768116,0.7375,"[1188735, 1088120, 1246401, 1088801, 1188591, 1089292, 1189768, 1189572, 1247572, 1088439, 1189460, 1189905, 1088072, 1188483, 836438, 1188763, 1189478, 1246020, 1246672, 1088257, 1089787, 1088752, 1088471, 1247745, 1188636, 1088293, 1245796, 1247423, 1189749, 1246063, 1088526, 1188598, 1089275, 836507, 1190274, 1088417, 1247435, 1089837, 1154357, 1088054, 1190058, 1189028, 1189986, 1088739, 1190381, 1246396, 836337, 1088095, 1246531, 1189678]","[901327, 889085, 906038, 901097, 889104, 905974, 901563, 906305, 889393, 1219090, 888859, 906120, 901018, 889158, 901415, 905875, 905839, 905895, 1217619, 901396, 889074, 901478, 901342, 889364, 888879, 906233, 889032, 905905, 1160780, 906159, 905769, 901066, 905916, 889304, 901483, 906193, 905796, 1217643, 906307, 888883, 901106, 901142, 1162259, 905900, 888855, 901322, 889312, 889206, 901199, 888847, 901149, 906108, 905921, 901279, 901105, 905862, 1217610, 888902, 1162877, 888997, 901157, 906078, 1160791, 888950, 901521, 1217589, 901211, 889286, 1217620, 906341, 906194, 901345, 889000, 1217615, 889360, 889247, 1160785, 1160803, 906200, 1160775, 906052, 889045, 906127, 906346, 901152, 888949, 905845, 901367, 901568, 901361, 905776, 889303, 905947, 905960, 1219657, 1219110, 906255, 901016, 901129, 888927, 889122, 906325, 889399, 905759, 901310]","{'TTR': 0.11165709534572817, 'sentiment': 0.04193390375373105, 'NNS': 0.03660544723124162, 'said': 0.02055236662403813, 'mean_sen_len': 0.02002229589913257, 'lex_density': 0.019693208277401373, 'is': 0.01827321745037661, 'which': 0.017347065135372586, 'VBZ': 0.01730134314744644, 'VB': 0.016542613799259937}"
0.81375,0.8133063107792112,0.816761211264584,0.81375,0.82241,1,0.8625,0.8042049934296978,0.8476454293628809,0.765,"[1246479, 1246008, 1088977, 1189510, 1089168, 1246863, 1245787, 1190858, 1245316, 1087778, 1189925, 1247148, 1211174, 1245924, 1189172, 1245785, 1189518, 1190474, 1189880, 1087989, 1190170, 1088166, 1247078, 1188896, 1245393, 1190243, 1190112, 1190516, 1246436, 836623, 1188588, 1246255, 1089008, 1154349, 1189101, 1190510, 1246359, 1245620, 1247121, 1087888, 1088053, 1247478, 1088350, 1211160, 1247728, 1088432, 1190397, 1190384, 1246639, 1190251, 1246253, 836485, 1246486, 1089229, 1088650]","[889287, 906294, 905831, 889031, 906346, 906198, 1162845, 889111, 1219727, 905834, 889388, 888843, 906261, 906039, 1160746, 889315, 889391, 906114, 888901, 889122, 906335, 1219685, 889056, 906312, 906026, 905759, 906169, 906295, 889131, 889396, 906273, 901223, 888946, 889099, 906038, 901170, 1219144, 901127, 905982, 901549, 889249, 901038, 889145, 901365, 889423, 889169, 1219690, 905821, 1162819, 888949, 1217644, 1162852, 906243, 906233, 901005, 906110, 1217612, 888857, 889283, 901483, 906325, 906122, 1162278, 1160742, 889171, 906142, 1217630, 901313, 906199, 1162880, 1160753, 906339, 906188, 888821, 889330, 905875, 1162842, 901450, 889048, 905790, 906156, 901383, 889074, 1162878, 905763, 905827, 1162231, 906194, 1217570, 889386, 905974, 889259, 888895, 905796]","{'TTR': 0.09848667992794115, 'sentiment': 0.04274619755706579, 'NNS': 0.03487236020359194, 'mean_sen_len': 0.022260237753530226, 'lex_density': 0.02111537819509492, 'is': 0.019855064067893894, 'said': 0.019490761670413883, 'VBZ': 0.018691251384133866, 'DT': 0.018377832078718206, 'which': 0.018058105975292428}"
0.80875,0.8085630498533725,0.8099607843137255,0.80875,0.81455,1,0.84,0.8025806451612904,0.8293333333333334,0.7775,"[1246063, 1246801, 1189292, 1245596, 1189619, 1247546, 1246321, 1190759, 1088528, 1088492, 1088264, 1088427, 1190060, 836910, 1246295, 1246155, 1246868, 1088849, 1211140, 1246929, 1189948, 1247688, 1089865, 1189009, 1088977, 1088201, 1246523, 1247064, 836308, 1089321, 1089476, 1189442, 1246277, 1088296, 1247316, 1189717, 1154349, 1245446, 1245407, 1190425, 1188709, 1087810, 1245532, 1246890, 1088690, 1089447, 1190565, 1188780, 1088670, 1190228, 1089562, 1188929, 1089136, 1088279, 836787, 1246933, 1088606, 1190116, 1089201, 1089864, 1189264, 1190826, 1189766, 1245903]","[889293, 889282, 1160784, 905821, 901507, 901345, 901016, 889069, 889233, 901418, 906050, 901496, 1160791, 905812, 889250, 889085, 906130, 889345, 889004, 906073, 889289, 901106, 905768, 906007, 889364, 905769, 1162861, 906158, 906117, 889344, 889247, 889023, 888919, 889300, 889013, 888833, 889349, 906193, 906274, 888873, 901131, 1162831, 889406, 901310, 1217572, 888855, 889006, 906118, 905884, 906042, 1162877, 906282, 906198, 906055, 905916, 901352, 888847, 888826, 901450, 906026, 1219712, 906261, 889051, 889382, 1217643, 901396, 905984, 889035, 905831, 889057, 1217610, 888911, 1162293, 905992, 901476, 901067, 906142, 906240, 906295, 1162817, 889177, 906307, 906105, 906122, 889229, 900992, 906222, 888988, 906322]","{'TTR': 0.0986073983366244, 'sentiment': 0.04797896672515128, 'NNS': 0.035220264579898256, 'mean_sen_len': 0.02035103166419715, 'which': 0.018629012101640623, 'VBZ': 0.01862892456834431, 'lex_density': 0.018393617237220373, 'DT': 0.017707077709446004, 'PRP': 0.01738290993066934, 'has': 0.017371413190763643}"
0.8425,0.8424369747899161,0.8430488782051282,0.8425,0.84559,1,0.8625,0.8392857142857143,0.8567708333333334,0.8225,"[1190398, 836563, 1247572, 1088004, 1190009, 1245811, 1188519, 1089039, 1246926, 1189417, 1189009, 836692, 1246932, 1246416, 1190838, 1246027, 1189510, 1088082, 1088161, 836658, 1088154, 1088069, 1189720, 1088432, 1246988, 1247237, 836415, 1246884, 1247175, 1188989, 1211159, 1247539, 1246519, 1245539, 1190274, 1188716, 1245953, 1089206, 1246387, 1245817, 1189768, 1088627, 1190563, 1190467, 1246629, 1154329, 1087841, 1189234, 1245446, 1246459, 1190736, 1189659, 1088690, 1246140, 1246696]","[888926, 905923, 901340, 906026, 1217593, 901129, 906007, 901476, 888913, 901281, 1162862, 906305, 888827, 888966, 901183, 906038, 901553, 905998, 901327, 889306, 889057, 888876, 888906, 901266, 906073, 901149, 901352, 889004, 889300, 888920, 901170, 1162857, 888888, 889169, 1160757, 888875, 905889, 906222, 1160746, 905850, 1162829, 889271, 906194, 1162277, 1219701, 1217610, 906074, 889085, 906061, 889104, 901406, 905814, 906022, 906076, 906092, 901127, 906257, 1219075, 905827, 1160748, 901568, 888911, 888988, 905843, 901213, 889066, 905882, 889233, 906312, 905769, 901496]","{'TTR': 0.10445971429554975, 'sentiment': 0.046557670729592555, 'NNS': 0.03125336147822722, 'said': 0.020621703834020778, 'mean_sen_len': 0.019204610028441135, 'VBZ': 0.01902110074733485, 'lex_density': 0.01853335552035736, 'PRP': 0.018264477005803855, 'this': 0.017963641705107357, 'DT': 0.01739810359756362}"
0.84375,0.8435150280342828,0.845827124164513,0.84375,0.84958,1,0.8825,0.8374512353706112,0.8726287262872628,0.805,"[1246660, 1245899, 1188809, 1246279, 1088200, 1245633, 1190215, 1188489, 1189580, 1246577, 1189112, 1088439, 1245918, 1087791, 1247243, 1246227, 1189925, 1088319, 1088153, 1088250, 1088865, 1087827, 1088587, 1246890, 1190208, 1247516, 836540, 836746, 1246310, 1245688, 1089792, 1189495, 1190199, 1247208, 1246196, 1246441, 1154350, 1089433, 1247435, 1246129, 836773, 1190746, 1188716, 1245690, 1088707, 1246086, 1245774]","[889201, 888904, 906029, 901345, 889345, 889077, 889242, 889393, 906273, 906073, 889376, 906315, 901038, 1162862, 888842, 901106, 889271, 906175, 906028, 901483, 889125, 906186, 905790, 889099, 906345, 889223, 901340, 1162231, 906224, 906042, 889081, 889331, 906193, 889076, 901199, 905776, 905860, 905916, 889023, 889248, 889295, 889085, 1219682, 889401, 889138, 888962, 905914, 889364, 889368, 905963, 906095, 906006, 901596, 1160803, 906346, 901548, 1219657, 901018, 906102, 889282, 889394, 906132, 901022, 905900, 906091, 906117, 901572, 889227, 889283, 889383, 1219675, 906243, 906026, 889423, 1162813, 889160, 889386, 905998]","{'TTR': 0.102410478260589, 'sentiment': 0.04555862773010383, 'NNS': 0.037170232159095096, 'mean_sen_len': 0.020071719830390435, 'which': 0.01966551712578656, 'said': 0.018044068214166552, 'lex_density': 0.01803072049903368, 'is': 0.017793435940895178, 'VBN': 0.017202476972529336, 'VBZ': 0.016486604566044}"
0.83625,0.8358187677321215,0.8398202363582388,0.83625,0.84423,1,0.8875,0.8274044795783926,0.8746518105849582,0.785,"[1190122, 1189749, 1189412, 1246364, 1087925, 1246252, 1247542, 1246283, 1247123, 1188479, 1245817, 1247038, 1189479, 1190546, 1089778, 1188791, 1246887, 1089367, 1089408, 1246106, 1089615, 1190426, 1088413, 1089073, 1087785, 1247745, 1247619, 1088071, 1089178, 1245433, 1245889, 1190082, 1088977, 1247512, 1246652, 1245407, 1189370, 1190001, 1190770, 1088632, 1154329, 1245811, 836533, 1088264, 1088161]","[906300, 1219722, 889004, 901220, 906267, 1219657, 1162852, 900990, 901018, 1219690, 1162259, 889401, 889293, 905753, 905870, 1162862, 889039, 901548, 1219694, 889051, 905838, 901149, 901183, 906140, 1160791, 905787, 906312, 906144, 888999, 901345, 889250, 889033, 889213, 906002, 1162858, 889069, 889283, 1219671, 888978, 1162813, 889393, 906104, 906243, 905960, 888910, 889099, 888987, 901478, 889301, 1219727, 906078, 889145, 905759, 1162857, 889418, 905768, 888959, 889122, 889023, 901322, 906293, 889104, 906238, 901087, 889256, 905861, 906055, 906005, 889108, 1217631, 888827, 905868, 906052, 906345, 906274, 1219726, 901038, 901097, 1219659, 901313, 905842, 889352, 906341, 906149, 1160737, 901365]","{'TTR': 0.11516946030082179, 'sentiment': 0.046742851119799346, 'NNS': 0.03161604619387789, 'which': 0.02212797198805039, 'said': 0.020654610465643482, 'mean_sen_len': 0.020634729163862, 'VBZ': 0.019093993066278726, 'lex_density': 0.017841944126029474, 'is': 0.01747069789904925, 'VBN': 0.01707534483020373}"
