accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.8793969849246231,0.8782874617737003,0.8937547501113821,0.8793969849246231,0.86667,1,0.7839195979899497,0.8899082568807339,0.8185654008438819,0.9748743718592965,"[1082725, 1083858, 835582, 1243189, 1087404, 1187433, 1187674, 1076558, 1078747, 1074230, 1074991, 1076881, 1187870, 1242377, 1073117, 1081878, 1073136, 1083835, 1083033, 1079171, 1082821, 1187719, 1079232, 1243487, 1075759, 1087092, 1087611, 1073068, 1081343, 1187136, 1080888, 1079426, 1187507, 1073767, 1187709, 1083404, 1245082, 1084160, 1075493, 1087220, 1086938, 1186056, 1076789]","[867467, 867396, 867842, 867860, 1214935]","{'TTR': 0.052607990355999654, 'or': 0.029290591173693446, 'so': 0.02880054882367861, 'not': 0.027988651444941386, 'VBG': 0.02682037883528602, 'be': 0.025022845394820345, 'of': 0.024796692366528414, 'JJR': 0.024548431524296168, 'this': 0.02190808294481038, 'with': 0.021298947895018606}"
0.8969849246231156,0.8962718113339478,0.9082104279185709,0.8969849246231156,0.88767,1,0.8140703517587939,0.9048723897911833,0.8405172413793104,0.9798994974874372,"[1242264, 1076084, 1087707, 1075995, 1076866, 1072179, 1080074, 1079617, 1242675, 1084746, 1084188, 1079727, 1242547, 1242890, 1187549, 1082741, 1186342, 1074636, 1073992, 1076705, 1079485, 1087191, 1080461, 1086606, 1078139, 1186562, 1083333, 1082461, 1242850, 1077674, 1187069, 1074964, 1242237, 1244528, 1074945, 1086255, 1185530]","[868090, 1214935, 867598, 867467]","{'TTR': 0.04382098579918572, 'so': 0.041369640391970594, 'in': 0.03642247099520631, 'it': 0.034762393756685474, 'have': 0.030194660791260257, 'VBG': 0.024450987076243828, 'JJR': 0.02347481794828718, 'or': 0.02243013528622471, 'be': 0.020756270577521625, 'but': 0.01893237248971116}"
0.871859296482412,0.8709722531227156,0.88237432488575,0.871859296482412,0.86027,1,0.7889447236180904,0.8816705336426914,0.8189655172413793,0.9547738693467337,"[1082017, 1078077, 1077616, 1075571, 1076108, 1187549, 1079599, 1072563, 1075023, 1080466, 1073999, 1185730, 1188255, 1188408, 1242673, 1074691, 836187, 1243609, 1244837, 1073162, 1083537, 1186987, 1074313, 1077734, 1084937, 1073417, 1243545, 1083215, 1073077, 1086286, 1076017, 1075169, 1084072, 1081088, 1081946, 1154310, 1073116, 1084853, 1187429, 1079314, 1079336, 1186864]","[868090, 867426, 867842, 867860, 867991, 868112, 868107, 868146, 867501]","{'TTR': 0.05573312424684284, 'so': 0.04506728658629334, 'or': 0.02910433714742075, 'VBG': 0.028458497698550387, 'JJR': 0.0244673687160934, 'be': 0.02439285655318632, 'this': 0.023368579380189672, 'for': 0.02141366378514912, 'RB': 0.02009126826446623, 'to': 0.02002831928989604}"
0.8844221105527639,0.8832427744190199,0.9006078787400331,0.8844221105527639,0.87151,1,0.7839195979899497,0.8949771689497716,0.8200836820083682,0.9849246231155779,"[1244933, 1081405, 1243718, 1243429, 1188284, 1082229, 1086528, 1078588, 1078144, 1086546, 1245110, 1080714, 1186745, 1086659, 1083433, 1242629, 836267, 1243660, 1081119, 1186496, 1187458, 1085225, 1074590, 1080313, 1187754, 1083436, 1244578, 1079591, 1079341, 1079243, 1086566, 1077750, 1243283, 1075416, 1243601, 1076314, 1078798, 1083853, 1075668, 1074175, 1076426, 1078415, 1087056]","[868128, 867860, 867773]","{'TTR': 0.04366272117690233, 'so': 0.04042956408842733, 'this': 0.03739762243347069, 'have': 0.029719743281670995, 'but': 0.029588905550779976, 'or': 0.028561527285118044, 'VBG': 0.02743389758762248, 'can': 0.023526231827867897, 'that': 0.019541068377096377, 'in': 0.019323040298747107}"
0.8969849246231156,0.8961820599443947,0.909657077340004,0.8969849246231156,0.88705,1,0.8090452261306532,0.9053117782909931,0.8376068376068376,0.9849246231155779,"[1085916, 1242807, 1080793, 1085476, 1186436, 1244870, 1188381, 1080703, 1080483, 1077561, 1185625, 1186206, 1076818, 1085339, 1186746, 1074042, 1185740, 1244639, 1086084, 1242932, 1077758, 1083827, 1085157, 1076482, 1079679, 1075556, 1079606, 1243804, 1083318, 1187216, 1082182, 1244310, 1084009, 1071988, 1083368, 1074878, 1087757, 1242963]","[1214935, 867425, 867739]","{'TTR': 0.04774781404432854, 'so': 0.045727128879772566, 'be': 0.03042464380735549, 'have': 0.026674180867493985, 'VBD': 0.026052325199762524, 'for': 0.02348121424092513, 'with': 0.023456510240079144, 'VBG': 0.02222019980514089, 'as': 0.02168210500956646, 'that': 0.02008680662263605}"
0.907035175879397,0.906605359124782,0.9146686561020785,0.907035175879397,0.90027,1,0.8391959798994975,0.9129411764705883,0.8584070796460177,0.9748743718592965,"[1186767, 1077674, 1074264, 1243724, 1073382, 1084980, 1076782, 1243609, 1084135, 1083031, 1073229, 1244696, 1186063, 1072753, 1084542, 1077271, 1243547, 1083578, 1074443, 1078312, 1075983, 1074372, 1079770, 1074667, 1186156, 1081911, 1074810, 1086948, 1243964, 1079216, 1074503, 1085716]","[867689, 867467, 867852, 867396, 868038]","{'TTR': 0.052763015438426916, 'VBG': 0.03525211520443237, 'so': 0.03429206501251015, 'JJR': 0.029733472265379816, 'or': 0.02967240736722406, 'in': 0.024544124864435597, 'and': 0.024196006150066986, 'with': 0.022719147672603236, 'for': 0.02267499384495407, 'this': 0.02235884286422006}"
0.8592964824120602,0.8573914823914823,0.8795784980658929,0.8592964824120602,0.84091,1,0.7437185929648241,0.8738738738738738,0.7918367346938775,0.9748743718592965,"[1186227, 1073816, 836250, 1076403, 1087122, 1187711, 1081045, 1084914, 1083451, 1245164, 1244283, 1072527, 1081443, 1187662, 1071870, 1073329, 1082795, 1243313, 1245283, 1072314, 1085167, 1187836, 1242888, 1077791, 1077966, 1080221, 1081571, 1087667, 1077150, 1080937, 1087108, 1075514, 1073537, 1187976, 1242584, 1075363, 1243744, 1187696, 1083864, 1072833, 1244696, 1082682, 1081335, 1082099, 1075934, 1073154, 836042, 1079185, 1187766, 1075945, 1083614]","[867363, 1158078, 1214976, 867426, 868096]","{'TTR': 0.05429168668824411, 'so': 0.03990255209482122, 'it': 0.027504688348824594, 'with': 0.027188814955838976, 'this': 0.0270956171596094, 'have': 0.026991599264800766, 'VBG': 0.025790997306088918, 'and': 0.021939206708171337, 'that': 0.02153919828033782, 'for': 0.02107250035602282}"
0.864321608040201,0.8634388105223028,0.87399227518988,0.864321608040201,0.85246,1,0.7839195979899497,0.8744186046511628,0.8138528138528138,0.9447236180904522,"[1074554, 1081401, 1187975, 1079901, 1076134, 1084751, 1077260, 1087733, 1186714, 1073857, 1072611, 1083369, 1084893, 1082946, 1244577, 1076796, 1080139, 1072989, 1078776, 1074723, 1079712, 1186939, 1242798, 1076348, 1086394, 1079506, 1078650, 1087285, 1079911, 1244954, 1072192, 1186759, 1077433, 1087412, 1079199, 836075, 1083968, 835928, 1186049, 1186436, 1084653, 1075962, 1073392]","[867689, 868086, 867852, 867842, 1158101, 867771, 868049, 867501, 867426, 868022, 1158078]","{'TTR': 0.04934969388439315, 'so': 0.042496369375998766, 'but': 0.028566906152717002, 'with': 0.025137181469942215, 'VBG': 0.024557489198342813, 'can': 0.024395437733625326, 'it': 0.022250083271179912, 'that': 0.021725819243949746, 'and': 0.021710515896901983, 'for': 0.020983328536179697}"
0.8844221105527639,0.8833588175331295,0.8989700448148439,0.8844221105527639,0.87222,1,0.7889447236180904,0.8944954128440367,0.8227848101265823,0.9798994974874372,"[1185954, 1084310, 1086476, 1075402, 1078926, 1081817, 1244873, 1087706, 1186316, 1186318, 1086172, 1186328, 1186984, 1244674, 1086211, 1072992, 1075000, 1187448, 1079147, 1071845, 1071907, 1186495, 1186794, 1186845, 1086089, 1083802, 835928, 1242896, 1243756, 1087362, 1074372, 1078189, 1087707, 1085753, 1080866, 1075370, 1187808, 1084179, 1083049, 1072958, 1083722, 1187811]","[868107, 867842, 867852, 868096]","{'TTR': 0.06188957792238707, 'in': 0.034770825969420154, 'so': 0.03238239192216202, 'VBG': 0.03029334726779306, 'have': 0.02863584907085505, 'be': 0.026235610566123668, 'or': 0.024845884814526795, 'JJR': 0.02451664095728477, 'this': 0.024338013802148326, 'of': 0.02323302160585118}"
0.8819095477386935,0.8809891906679646,0.8941004794663332,0.8819095477386935,0.87052,1,0.7939698492462312,0.8914549653579676,0.8247863247863247,0.9698492462311558,"[1081439, 1079580, 1082437, 1081033, 1083215, 1075541, 1078872, 1074305, 1074002, 1084079, 1077558, 1084763, 1242947, 1244379, 1084704, 1086410, 1079019, 1082999, 1080187, 1079243, 1154310, 1080052, 1087621, 1085339, 1083841, 1074110, 1086375, 1075634, 1074119, 1187899, 1086215, 1076558, 1087394, 1087362, 1079185, 836110, 1188281, 1076803, 1076622, 1187617, 1187041]","[867995, 867689, 868022, 867852, 868086, 867810]","{'TTR': 0.045265388862600286, 'JJR': 0.03981313494776559, 'so': 0.02887808724510158, 'it': 0.02849870466992919, 'or': 0.028354799731771414, 'in': 0.025127361967746027, 'VBG': 0.024721583743623227, 'be': 0.024452722650545405, 'can': 0.021217063012061034, 'PRP$': 0.02091934497106911}"
