accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.94,0.9398690481493029,0.9438665710186515,0.94,0.94268,1,0.9866666666666667,0.9370629370629371,0.9852941176470589,0.8933333333333333,"[1245592, 1188671]","[893076, 892995, 892671, 1161213, 892773, 892587, 893025, 892689, 892980, 1161218, 892678, 1218087, 892506, 892690, 892960, 892964]","{'TTR': 0.08612636185546567, 'mean_sen_len': 0.07232081270463843, 'or': 0.0723127458509536, 'the': 0.03189673895767205, 'an': 0.031296309704450846, 'on': 0.02985573822025903, 'we': 0.025807524219220185, 'a': 0.025722009659123555, 'this': 0.02524616269839692, 'at': 0.02156865422510146}"
0.92,0.9197717953289358,0.9248336630102498,0.92,0.92405,1,0.9733333333333334,0.9154929577464789,0.9701492537313433,0.8666666666666667,"[1089254, 1190104, 1188582, 1088906]","[892960, 892628, 893049, 1218064, 892900, 892827, 892690, 892579, 892643, 1218047, 892587, 892619, 1161215, 892980, 892495, 892788, 892988, 892958, 893052, 892726]","{'TTR': 0.07815633356120856, 'mean_sen_len': 0.06950882280766511, 'or': 0.059578397874898846, 'on': 0.05170688183385807, 'the': 0.04156848019210959, 'PRP$': 0.03204715653890803, 'this': 0.030912089004700393, 'a': 0.028559840736118905, 'we': 0.024147521842525558, 'DT': 0.018238628726954236}"
0.9633333333333334,0.9633296662999633,0.9635187408296653,0.9633333333333334,0.9637,1,0.9733333333333334,0.9629629629629629,0.9727891156462585,0.9533333333333334,"[1189101, 1088582, 1088205, 1189707]","[892933, 1161182, 892896, 892940, 892506, 892501, 893058]","{'TTR': 0.07672045020014549, 'mean_sen_len': 0.07204396440899759, 'or': 0.0607816129433163, 'on': 0.04115895132229394, 'we': 0.03103615711690355, 'a': 0.029800124244066882, 'the': 0.029306463676547278, 'PRP$': 0.02782708140639549, 'this': 0.02728293729100153, 'as': 0.023728496727894916}"
0.92,0.9198253975324038,0.9236908177905309,0.92,0.92357,1,0.9666666666666667,0.916083916083916,0.9632352941176471,0.8733333333333333,"[1246136, 1245296, 1245804, 1247256, 1189192]","[893052, 893076, 892515, 892587, 892896, 892987, 892628, 893051, 892690, 892980, 893011, 1161215, 892941, 892577, 1218064, 892546, 892757, 1218056, 892803]","{'or': 0.08479372198234411, 'TTR': 0.0821777980634119, 'mean_sen_len': 0.06148240437815421, 'on': 0.038475144757397786, 'the': 0.030585356879467653, 'this': 0.029826706658622193, 'we': 0.028988059622379457, 'PRP$': 0.027580074015018746, 'an': 0.026258403493354617, 'a': 0.025537638582445513}"
0.9266666666666666,0.9264574790515242,0.9315770544866031,0.9266666666666666,0.93038,1,0.98,0.9225352112676056,0.9776119402985075,0.8733333333333333,"[1188912, 836872, 1247320]","[892948, 893076, 892699, 892678, 892773, 892844, 1218073, 892671, 892579, 892964, 892628, 892690, 892827, 892535, 893010, 893052, 892896, 893025, 892958]","{'or': 0.07677761505293575, 'TTR': 0.07303856349686887, 'mean_sen_len': 0.0699742008864065, 'an': 0.0327218593478975, 'the': 0.03130461864566716, 'on': 0.03085079206711981, 'this': 0.029114734669965614, 'a': 0.028669965599765427, 'with': 0.02810179596574257, 'PRP$': 0.02186033265933829}"
0.9333333333333333,0.9331431627741131,0.9383204459629563,0.9333333333333333,0.93671,1,0.9866666666666667,0.9295774647887324,0.9850746268656716,0.88,"[1188655, 1189081]","[892690, 893010, 892988, 892650, 892941, 892699, 892896, 1161241, 892852, 892577, 892866, 892651, 893049, 892948, 892546, 892575, 1161218, 892827]","{'TTR': 0.09643996330096734, 'or': 0.06955816223461658, 'mean_sen_len': 0.0663904769492123, 'on': 0.042150855441274775, 'the': 0.04066432086864909, 'we': 0.026837874085566874, 'an': 0.02591367386854862, 'DT': 0.024700498906992777, 'a': 0.024114857187906676, 'you': 0.02034532782659176}"
0.9333333333333333,0.9331878312770033,0.9371413199426112,0.9333333333333333,0.93631,1,0.98,0.9300699300699301,0.9779411764705882,0.8866666666666667,"[1190546, 1245465, 1089093]","[892628, 892766, 892587, 1218064, 893011, 892586, 892951, 1161241, 892523, 1161182, 892515, 892650, 1218073, 893051, 893076, 892546, 892827]","{'TTR': 0.08234643624138721, 'or': 0.08046559486059843, 'mean_sen_len': 0.06788721472659805, 'this': 0.039895182773195155, 'on': 0.03671064209351374, 'the': 0.03023866594282597, 'a': 0.02754378487054105, 'we': 0.026882668887937538, 'an': 0.0219969212204933, 'you': 0.020928945164103655}"
0.95,0.9499727629487166,0.9509821388802281,0.95,0.95114,1,0.9733333333333334,0.9488054607508533,0.972027972027972,0.9266666666666666,"[1190294, 1089772, 1089281, 836853]","[893011, 893076, 892844, 1218087, 892575, 892659, 892546, 892628, 1218046, 892919, 892495]","{'TTR': 0.08495279924110541, 'or': 0.07129138026850516, 'mean_sen_len': 0.06213228531452887, 'this': 0.03534087839994161, 'we': 0.030284310809337293, 'on': 0.028829949964715933, 'the': 0.028548837737348814, 'a': 0.02565826653921279, 'as': 0.025590873581424676, 'PRP$': 0.024057392568695303}"
0.9333333333333333,0.9331878312770033,0.9371413199426112,0.9333333333333333,0.93631,1,0.98,0.9300699300699301,0.9779411764705882,0.8866666666666667,"[1089499, 1190881, 1188714]","[892856, 1161182, 892788, 1218073, 892933, 892650, 892971, 892701, 892640, 1218056, 892535, 892854, 893049, 892760, 893051, 892690, 892980]","{'TTR': 0.07543620767396197, 'or': 0.06442736551465628, 'mean_sen_len': 0.05917283901376598, 'the': 0.04192719275762315, 'on': 0.03359876251921317, 'this': 0.030388233445151274, 'a': 0.02748148179353227, 'we': 0.027239742559202064, 'DT': 0.024023211724135934, 'you': 0.021390618669421647}"
0.9366666666666666,0.9365475170041523,0.9399713402892841,0.9366666666666666,0.9393,1,0.98,0.9337979094076655,0.9781021897810219,0.8933333333333333,"[1245860, 1089521, 1189430]","[892987, 892757, 892852, 893052, 893051, 892575, 892827, 892640, 892958, 892587, 1161215, 892940, 892499, 893011, 1218077, 893076]","{'TTR': 0.08044393284821394, 'or': 0.06452099771449772, 'mean_sen_len': 0.058002324782404545, 'on': 0.041232129928316416, 'the': 0.03999939002523278, 'this': 0.029581633971213238, 'we': 0.0284618761428063, 'an': 0.0266082327050028, 'PRP$': 0.02340264367476222, 'you': 0.022744613958758046}"
0.9466666666666667,0.946607341490545,0.9486607142857143,0.9466666666666667,0.94839,1,0.98,0.9448275862068966,0.9785714285714285,0.9133333333333333,"[1154344, 1246008, 1247443]","[892587, 1161213, 892701, 892699, 893073, 892671, 892941, 892499, 893051, 893049, 892980, 1161218, 892987]","{'TTR': 0.08875528598026311, 'or': 0.08279692414126723, 'mean_sen_len': 0.05977844600413751, 'the': 0.03808490328264831, 'on': 0.03589379245927685, 'PRP$': 0.03242340215520323, 'a': 0.02581633303849078, 'DT': 0.025678562304598196, 'this': 0.02372573520289162, 'we': 0.023670645974735973}"
0.9466666666666667,0.9465502650216026,0.9505918220946916,0.9466666666666667,0.94904,1,0.9933333333333333,0.9440559440559441,0.9926470588235294,0.9,[1246045],"[892515, 892575, 892964, 892872, 892971, 892690, 893076, 892856, 892506, 892651, 1161213, 892919, 1218056, 892727, 892989]","{'TTR': 0.0931667089615105, 'or': 0.06790919302096314, 'mean_sen_len': 0.06012187584374303, 'the': 0.034608969540145355, 'we': 0.0323623728939369, 'on': 0.03194795146060044, 'this': 0.03082033435797132, 'at': 0.02216283650077214, 'an': 0.021580658779930356, 'you': 0.021458236578919616}"
0.9333333333333333,0.9333066559957316,0.9340277777777777,0.9333333333333333,0.93464,1,0.9533333333333334,0.9319727891156463,0.9513888888888888,0.9133333333333333,"[836337, 1247443, 836480, 1089281, 1088906, 1247309, 1189192]","[892870, 892701, 892499, 893076, 892852, 892678, 892627, 893058, 892643, 893011, 892587, 893051, 892535]","{'TTR': 0.08744315303457573, 'mean_sen_len': 0.07265257321058996, 'or': 0.06573542127699183, 'the': 0.04028397245823347, 'on': 0.03912552941451221, 'an': 0.03381411264074137, 'we': 0.02699461955503471, 'PRP$': 0.025683485139678008, 'this': 0.02224843655821083, 'a': 0.021723841891049728}"
0.9266666666666666,0.926401712832865,0.9329004329004329,0.9266666666666666,0.93082,1,0.9866666666666667,0.9219858156028369,0.9848484848484849,0.8666666666666667,"[836533, 1089074]","[892980, 892651, 892546, 892515, 892591, 892896, 892587, 893011, 892508, 1161182, 892958, 893025, 893052, 892827, 892995, 1218073, 1161218, 892586, 892906, 892706]","{'mean_sen_len': 0.08921013263846658, 'TTR': 0.07874307038091358, 'or': 0.06901494034071981, 'on': 0.04646573826981748, 'the': 0.03344471086455143, 'we': 0.03167098216168517, 'this': 0.02731833531877072, 'as': 0.025801770301174125, 'a': 0.024189820187462283, 'an': 0.01910683717672093}"
0.9333333333333333,0.9330924662116954,0.9396645021645021,0.9333333333333333,0.93711,1,0.9933333333333333,0.9290780141843972,0.9924242424242424,0.8733333333333333,[1190677],"[892760, 892619, 892827, 1218047, 892575, 1218056, 892546, 893025, 892819, 892643, 892560, 892515, 892872, 1161182, 892659, 892803, 892766, 892980, 893049]","{'TTR': 0.08706632385919975, 'mean_sen_len': 0.07556463540628905, 'or': 0.06548715179577452, 'we': 0.031531235254795405, 'on': 0.03076799554100461, 'the': 0.029760712898972676, 'PRP$': 0.02811175179415197, 'an': 0.02780943232864581, 'a': 0.027223040754388722, 'this': 0.026018305009828754}"
0.9366666666666666,0.9365079365079365,0.9410774410774411,0.9366666666666666,0.93968,1,0.9866666666666667,0.9333333333333333,0.9851851851851852,0.8866666666666667,"[1245804, 1247675]","[892870, 1218064, 892866, 892671, 1218087, 892906, 893051, 1218056, 892579, 1161213, 1161241, 892577, 892827, 892766, 892706, 892506, 892651]","{'TTR': 0.07804413651219835, 'or': 0.06883734367369722, 'mean_sen_len': 0.06807281044161483, 'on': 0.035328439520136916, 'we': 0.03369294259079917, 'the': 0.0303538471106487, 'an': 0.028820031873610343, 'this': 0.025501924229559814, 'as': 0.022318358749535642, 'DT': 0.01968911366898419}"
0.94,0.9399332591768632,0.9419642857142857,0.94,0.94194,1,0.9733333333333334,0.9379310344827586,0.9714285714285714,0.9066666666666666,"[1190829, 1089093, 1246687, 1246279]","[892628, 892726, 892964, 892619, 892495, 892988, 1161218, 892919, 892987, 892699, 892515, 892930, 1161182, 892678]","{'TTR': 0.08626512895370478, 'or': 0.06711470295406192, 'mean_sen_len': 0.0600464867867768, 'an': 0.03756281111880356, 'on': 0.03697830317099051, 'the': 0.03412472624942936, 'this': 0.0305019441279613, 'we': 0.022526028393484575, 'a': 0.021431240944777632, 'with': 0.019516214566110707}"
0.94,0.9398690481493029,0.9438665710186515,0.94,0.94268,1,0.9866666666666667,0.9370629370629371,0.9852941176470589,0.8933333333333333,"[1154349, 1246125]","[892773, 892856, 892523, 892980, 1161213, 892854, 892906, 892651, 892697, 892629, 892870, 892830, 893049, 892515, 893010, 892971]","{'TTR': 0.08314292281027907, 'or': 0.0762964522269999, 'mean_sen_len': 0.07427565313644563, 'on': 0.0392898457332352, 'an': 0.03223327020340008, 'the': 0.029489661458754552, 'a': 0.02692517481849738, 'this': 0.02564602393319083, 'PRP$': 0.020641935933043153, 'we': 0.0196041135845891}"
