accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.875,0.8747173309780192,0.8784151971543178,0.875,0.88067,1,0.9225,0.868766404199475,0.914364640883978,0.8275,"[1200003, 1198331, 1199643, 1197409, 1255992, 1100039, 839082, 1256314, 839097, 1101260, 1198665, 1197303, 1198793, 1099969, 1197675, 1099904, 1200000, 1100340, 1255676, 1197865, 838621, 1198445, 1197388, 839043, 1198980, 1199975, 1199216, 1255246, 1199235, 1099928, 1101530]","[972201, 960489, 961004, 960766, 972395, 960807, 960968, 960494, 960864, 972360, 1226582, 961112, 961101, 960687, 960971, 1226591, 960535, 960876, 961063, 1171083, 972489, 1169628, 1226616, 961007, 960486, 972079, 972435, 972249, 972674, 960536, 961118, 960555, 960565, 961133, 961012, 960515, 1226603, 960934, 972083, 972841, 972519, 960721, 972555, 972369, 972203, 961052, 972412, 960756, 972786, 972179, 960579, 960734, 960738, 961061, 972748, 1169635, 960731, 960562, 960964, 960526, 960534, 972866, 1226575, 960545, 972100, 960822, 1171137, 972226, 960813]","{'mean_sen_len': 0.12059343928901908, 'TTR': 0.10842158102885222, 'and': 0.049261242368741416, 'so': 0.022442688844219346, 'when': 0.02017611451122725, 'it': 0.019617307301902927, 'of': 0.019290776870704997, 'VBD': 0.018012980284204047, 'VBG': 0.01801149427163414, 'sentiment': 0.017255649133126418}"
0.85,0.8496607971736231,0.8531875173440298,0.85,0.8568,1,0.8975,0.84251968503937,0.8867403314917127,0.8025,"[1100711, 1256196, 1255008, 1200205, 1211414, 1198287, 838740, 1211438, 1255940, 1100036, 1256419, 1255289, 1255344, 1101530, 1256782, 1254572, 1254952, 838589, 1197833, 1256348, 1255676, 839099, 1198634, 1200100, 1255506, 1101364, 1100175, 1101043, 1101839, 1101353, 1101243, 1255015, 839147, 1256678, 839001, 1256275, 1101007, 1199207, 839196, 1100199, 1099551]","[1169681, 972863, 960954, 1169628, 972518, 960968, 961082, 960463, 1169676, 965792, 1169705, 960652, 960892, 960608, 960517, 960501, 960877, 972280, 960937, 965469, 960692, 960454, 960904, 960534, 960824, 960409, 1228033, 1227993, 1226615, 960924, 960979, 961034, 972473, 1169615, 972846, 1226583, 1169702, 960753, 961167, 960535, 960429, 972700, 960893, 965343, 960915, 965578, 960457, 961060, 960991, 960941, 960957, 972527, 960508, 960588, 961094, 960597, 960856, 1226542, 960672, 961012, 960945, 960507, 972728, 972786, 961169, 972667, 972732, 972256, 972547, 960765, 972707, 1226571, 1228019, 960657, 960790, 960987, 972390, 1228053, 1226575]","{'mean_sen_len': 0.10914164620512047, 'TTR': 0.10335376818754208, 'and': 0.05306874262370202, 'so': 0.026030067301769533, 'but': 0.020875983521448836, 'NN': 0.019630212805694703, 'that': 0.01900862991439692, 'of': 0.01898095535100211, 'sentiment': 0.018549119272325512, 'when': 0.01828712543414758}"
0.87,0.86926461345066,0.8785166240409208,0.87,0.87907,1,0.945,0.8594594594594595,0.9352941176470588,0.795,"[839178, 1199810, 839082, 838540, 1256236, 1254178, 1200003, 1197617, 1099848, 1197282, 1255410, 1254122, 1101622, 1199217, 1254116, 838612, 1099700, 1199591, 1101684, 1099986, 1101353, 1199983]","[960477, 972306, 960612, 1226530, 960438, 972144, 972375, 960994, 961058, 960570, 960555, 960875, 1169704, 961064, 972075, 1171083, 1226618, 1169648, 961101, 960941, 965501, 960908, 961176, 972681, 960752, 1169624, 960647, 1227163, 961094, 1169679, 960669, 972710, 960649, 972795, 1170232, 960411, 1227997, 972203, 960790, 972695, 972846, 1226575, 961110, 960528, 960753, 960909, 972390, 1228034, 1226611, 972489, 972564, 965360, 961107, 960795, 972281, 1226560, 961004, 960812, 960952, 960820, 972519, 961044, 960579, 961187, 961035, 960964, 961177, 1169687, 960662, 960993, 961084, 960825, 1169620, 1226525, 1169711, 1226550, 972394, 1169635, 960736, 1171110, 1171091, 1228011]","{'TTR': 0.10883746689509836, 'mean_sen_len': 0.10837068724706363, 'and': 0.05275740216988141, 'but': 0.026344490189988544, 'so': 0.021882321683382153, 'that': 0.02151426360934012, 'NN': 0.020019907577572497, 'VBG': 0.019132729808132912, 'sentiment': 0.018391512260984857, 'VBD': 0.017482588369569476}"
0.84875,0.8479782520954031,0.8559785902482281,0.84875,0.85881,1,0.92,0.8371467025572006,0.9067055393586005,0.7775,"[1256300, 1253950, 1200123, 1255852, 1200155, 1255584, 1199083, 1197156, 838889, 1198527, 1100511, 1100833, 1198426, 1099632, 1199935, 1255143, 1197465, 1256173, 839156, 1199858, 839012, 1254297, 839001, 838826, 1100887, 1256779, 1100167, 1254735, 1199879, 1100899, 1255366, 1254656]","[972153, 960468, 961094, 972293, 960654, 1169653, 1169687, 960649, 961100, 960535, 972458, 960665, 960517, 972654, 960909, 960867, 972384, 972079, 961025, 960583, 961034, 960675, 960794, 1169681, 1226594, 960776, 961131, 961140, 1169689, 960800, 960734, 1171074, 960790, 1226618, 961037, 972846, 972643, 961059, 960623, 960738, 960503, 965578, 961087, 972547, 960477, 960842, 960541, 960812, 972459, 960481, 960941, 961039, 972245, 960542, 960577, 1169698, 972203, 960510, 960423, 960883, 1170221, 960642, 961101, 1227179, 960832, 960926, 960744, 960904, 972543, 961143, 960970, 960968, 960853, 961030, 1169704, 972401, 1169674, 960888, 972317, 961044, 960662, 972375, 972725, 972680, 1228038, 960890, 960520, 960461, 972179]","{'mean_sen_len': 0.11085462193424866, 'TTR': 0.09911128134327657, 'and': 0.053273389065194736, 'but': 0.026449117793923706, 'sentiment': 0.023325624767005046, 'so': 0.02315713951761853, 'that': 0.022841716643605195, 'NN': 0.02056455633932426, 'VBD': 0.01766111715369449, 'it': 0.0174892958616896}"
0.86,0.8593106220480354,0.8671970624235007,0.86,0.86916,1,0.93,0.8494623655913979,0.9186046511627907,0.79,"[1101275, 1197849, 839083, 1200054, 1199457, 1099928, 1211417, 839252, 1100117, 838931, 1197342, 1099486, 1198940, 1199076, 1198556, 839162, 1197272, 1100294, 1101748, 1197532, 1101467, 1100384, 1256977, 1197576, 838789, 1198664, 1197644, 1255228]","[972295, 960825, 972200, 1169696, 972491, 972633, 960585, 1226529, 960491, 965817, 1169702, 960890, 1226599, 960414, 960822, 1226605, 961108, 972407, 960820, 960879, 961174, 961104, 1228003, 960559, 961061, 972802, 960526, 965360, 960468, 972203, 960419, 1169634, 961037, 1226611, 1169689, 972279, 972162, 972731, 1169622, 960642, 960765, 961060, 960949, 960777, 960415, 972466, 961075, 972711, 1226524, 960610, 960850, 965578, 960423, 960959, 961034, 1228010, 972624, 965461, 960919, 1171159, 960835, 961059, 960926, 960979, 1171110, 960551, 972798, 972489, 972795, 972412, 1226591, 1169700, 960867, 972465, 960921, 972459, 960990, 960764, 960657, 1169691, 1169653, 960780, 961084, 1228051]","{'mean_sen_len': 0.11045340824723988, 'TTR': 0.1071092527161762, 'and': 0.05129576019307038, 'that': 0.028962833533922972, 'so': 0.024733261084000334, 'but': 0.022574266415080552, 'sentiment': 0.02232584824214372, 'NN': 0.019297478742819497, 'it': 0.01755921881316789, 'of': 0.016498657252281657}"
0.85,0.8494117647058823,0.8555555555555556,0.85,0.85882,1,0.9125,0.84,0.9,0.7875,"[1255670, 1099986, 1197576, 838484, 1199503, 1100511, 1101580, 1254936, 839185, 1198328, 1099700, 1199143, 1255427, 839013, 1154653, 1254494, 838621, 1100420, 839099, 1256283, 1254227, 1254476, 1099593, 1199640, 838658, 1154643, 1100480, 1198391, 1100440, 838698, 1199110, 1256557, 1198294, 838765, 1197848]","[960658, 960644, 960999, 1226616, 972511, 960813, 972866, 960507, 960411, 960501, 1169635, 1226550, 960600, 965321, 960421, 972406, 961025, 960911, 960536, 960530, 960563, 972249, 960560, 960636, 960585, 972476, 961170, 960997, 960954, 961167, 965817, 1228019, 960429, 972375, 972458, 960964, 960506, 960455, 1226583, 960456, 960903, 960845, 960791, 961002, 1169632, 960893, 972582, 1171091, 1226601, 1169630, 960776, 960534, 961151, 960686, 961041, 960918, 960614, 1169619, 961082, 960952, 1169653, 960596, 960892, 960810, 960764, 972148, 960777, 972674, 1169624, 972245, 961090, 960842, 960970, 960750, 972330, 972369, 960491, 965461, 961134, 960486, 972467, 965889, 972718, 960503, 1226611]","{'mean_sen_len': 0.11288185459786267, 'TTR': 0.11257796419827933, 'and': 0.050626922241962434, 'that': 0.021608768548331065, 'sentiment': 0.020971890858843812, 'NN': 0.020628045384865096, 'so': 0.02019611015226327, 'VBD': 0.01948750916033478, 'but': 0.01926250494247828, 'of': 0.0183086105566293}"
0.85875,0.8584472097345727,0.8618460452244517,0.85875,0.86499,1,0.905,0.8519003931847968,0.8953168044077136,0.8125,"[1211462, 1101151, 1256773, 838670, 1198000, 1100883, 1100086, 1254515, 1101601, 838983, 1101530, 1197166, 1255937, 1154627, 1254238, 1256468, 1254486, 1100588, 1197309, 1198940, 1199677, 838931, 839270, 1253970, 1200276, 1254991, 1256708, 1200239, 1256289, 1256664, 838638, 1254278, 1255595, 1256303, 1256933, 1255127, 1198560, 1100880]","[960473, 972502, 961140, 960829, 960481, 960973, 965426, 972148, 960816, 1169653, 960964, 960970, 960563, 960895, 1226571, 960417, 960834, 972731, 1227978, 961174, 961045, 961037, 960916, 960800, 960534, 960908, 960644, 960541, 961172, 965792, 960922, 960585, 960918, 1171071, 972306, 960799, 1169648, 972707, 960777, 972609, 960430, 1171083, 960990, 972588, 972500, 1170259, 1226615, 960680, 960854, 960657, 960812, 960407, 1226529, 965817, 960941, 960888, 1226595, 972517, 960905, 961058, 961012, 961142, 961177, 960883, 1169620, 972624, 960597, 960687, 960488, 960494, 961133, 1226585, 960759, 972144, 960938]","{'mean_sen_len': 0.10967636093066069, 'TTR': 0.10777607617879471, 'and': 0.052248752066593074, 'that': 0.025803434969784517, 'but': 0.021298113663545906, 'so': 0.02129650905064688, 'VBG': 0.0203156607086324, 'sentiment': 0.02021397142336624, 'NN': 0.019005326369134944, 'VBD': 0.017337402834956887}"
0.87125,0.8706824170460662,0.8778842300131687,0.87125,0.87925,1,0.9375,0.8621151271753681,0.9279538904899135,0.805,"[1100667, 1199858, 1099904, 1254831, 1100509, 1257035, 1100476, 1254666, 1255898, 1199696, 1256319, 1255761, 839251, 1253971, 839156, 1100199, 1198849, 1256058, 1154655, 1100086, 1197576, 838629, 1256154, 1154615, 1254558]","[960647, 961122, 960565, 961187, 960934, 961089, 1169644, 1227163, 1226541, 960741, 960980, 960481, 961037, 972744, 960838, 960579, 960421, 960407, 961154, 972256, 960507, 961100, 1169639, 972795, 1226527, 1226591, 960581, 960790, 960886, 960766, 961039, 960491, 972406, 960483, 960417, 960732, 965157, 1226575, 972281, 960852, 972117, 972381, 960600, 960779, 1169637, 960964, 960555, 1226550, 960541, 1169704, 960941, 961063, 960734, 960495, 972377, 961183, 961134, 960583, 972201, 960973, 1169687, 961044, 960736, 1171137, 960489, 1169681, 960680, 961005, 960867, 1226556, 972518, 1228001, 965296, 960665, 961054, 965817, 961007, 972360]","{'mean_sen_len': 0.11280256670157753, 'TTR': 0.10211790858301123, 'and': 0.0456467603569306, 'that': 0.025839041966279862, 'but': 0.022597071978897768, 'of': 0.022287014453871042, 'sentiment': 0.021276797359635346, 'VBD': 0.020915364076574287, 'so': 0.018633525624358126, 'VBG': 0.018147346966338924}"
0.83875,0.8377437577728131,0.847366869404157,0.83875,0.85052,1,0.9175,0.824966078697422,0.9020771513353115,0.76,"[1101726, 1198889, 1254104, 1256190, 1254515, 1254116, 1199032, 1199015, 1256392, 1256557, 1101568, 838740, 838993, 838616, 1100692, 1254203, 1198344, 1255857, 1254476, 1256251, 1255005, 1100576, 1101879, 1255940, 1100117, 839217, 1197833, 1099739, 839147, 1099990, 1254467, 1254164, 1099658]","[1227990, 1228001, 960904, 961134, 961143, 961034, 960608, 1169659, 1228012, 972286, 972245, 960812, 965411, 1169679, 960478, 972360, 972319, 960995, 960504, 960892, 960924, 960859, 1169637, 960824, 960934, 961075, 1170264, 960932, 960653, 960545, 960487, 960563, 960930, 960427, 960610, 1226542, 960811, 1226595, 972798, 961113, 960481, 960852, 960867, 961140, 972748, 972630, 960760, 960639, 960555, 960411, 960517, 1171137, 972406, 961007, 972235, 960723, 972547, 1226578, 961115, 960658, 972473, 972471, 961112, 960897, 960526, 972667, 961072, 972465, 960954, 1171090, 972179, 960455, 960908, 1226569, 960440, 960423, 1228034, 961059, 1227977, 960968, 972083, 960864, 960945, 960536, 1226618, 960808, 960799, 960667, 960957, 972582, 960598, 972293, 972476, 1169630, 960916, 972395]","{'mean_sen_len': 0.12142407155300235, 'TTR': 0.1031473397434864, 'and': 0.04865686170948381, 'but': 0.02416467496886817, 'sentiment': 0.02238560148129206, 'that': 0.02153781736185498, 'so': 0.02000985193495877, 'VBG': 0.01822072401382149, 'VBD': 0.01760787945516593, 'NN': 0.01738351585540282}"
0.87375,0.8736629458736411,0.8747829956317099,0.87375,0.87698,1,0.9,0.8703465982028241,0.8944591029023746,0.8475,"[1255366, 1199965, 1197812, 1199182, 1256410, 1101697, 838562, 1254251, 1100880, 1101064, 1198742, 1100670, 1100822, 1255110, 1257015, 839161, 1255620, 1254479, 838638, 1256831, 1099848, 839065, 1197156, 1199832, 839094, 1199754, 1101788, 1256580, 1255811, 1255008, 1099683, 1256408, 1197388, 1100420, 1255726, 1254895, 1255515, 1101874, 1099842, 1256933]","[961007, 972667, 960842, 960542, 960905, 960738, 972458, 960696, 960562, 1169615, 960949, 960883, 960506, 1169687, 1228021, 960541, 961135, 961113, 961170, 1171085, 1226556, 1226583, 960854, 972246, 960686, 972795, 960577, 1226578, 960987, 960565, 960898, 960674, 960497, 960875, 960667, 960423, 960922, 961181, 961061, 960530, 961089, 972254, 961002, 960812, 961084, 961179, 960916, 1226540, 960647, 961023, 960430, 960614, 961082, 960510, 1227993, 960599, 960708, 960921, 1169628, 972330, 960904]","{'mean_sen_len': 0.11584919399635973, 'TTR': 0.09853908076252149, 'and': 0.05254015196806055, 'VBG': 0.0219989081829301, 'but': 0.021808221837091524, 'so': 0.02179197923373324, 'sentiment': 0.021212533946351954, 'that': 0.019991970067012046, 'of': 0.019800449342947685, 'VBD': 0.01881433378852407}"
