accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.9205128205128205,0.9203237137453126,0.9245433305012745,0.9205128205128205,0.92421,1,0.9692307692307692,0.9164420485175202,0.9659090909090909,0.8717948717948718,"[1140622, 1150113, 840990, 1263025, 1141887, 1136196]","[1048333, 1047933, 1048452, 1048256, 1048412, 1048479, 1048094, 1047890, 1048337, 1048262, 1180537, 1048396, 1048135, 1048474, 1048312, 1047961, 1048533, 1237507, 1180503, 1047971, 1180504, 1237459, 1048167, 1048304, 1047789]","{'TTR': 0.2171709232064874, 'mean_sen_len': 0.04501113551502099, 'DT': 0.03011704776934001, 'it': 0.022828030316704793, 'the': 0.021599893659577946, 'an': 0.018818407080372603, 'is': 0.01764040453195694, 'RB': 0.01685939251408744, 'by': 0.016787606172254846, 'on': 0.016362782854825505}"
0.9153846153846154,0.9151833081804941,0.9193659728122346,0.9153846153846154,0.91932,1,0.9641025641025641,0.9110512129380054,0.9602272727272727,0.8666666666666667,"[1144874, 841412, 1138805, 1150421, 1148294, 1145178, 1139947]","[1180561, 1048538, 1048411, 1237444, 1180533, 1047905, 1048371, 1048188, 1048286, 1048492, 1048195, 1048488, 1048058, 1048429, 1048356, 1048328, 1180539, 1048350, 1048167, 1048264, 1047896, 1048418, 1047920, 1048330, 1048434, 1047982]","{'TTR': 0.21386700046587478, 'mean_sen_len': 0.04062491823070204, 'it': 0.026911229454379862, 'DT': 0.022987357746230903, 'the': 0.02177769928527421, 'on': 0.020689691582034587, 'not': 0.018054961442336148, 'PRP': 0.016824764856542756, 'by': 0.016356503578359376, 'for': 0.01615667703850194}"
0.9025641025641026,0.902438382136086,0.9046498717914827,0.9025641025641026,0.90594,1,0.9384615384615385,0.898936170212766,0.9337016574585635,0.8666666666666667,"[1141636, 841047, 1141252, 1136074, 1207550, 1149825, 1140363, 1147597, 1207646, 1142155, 1149522, 1206583]","[1237441, 1180498, 1048479, 1048328, 1048301, 1047896, 1180566, 1180504, 1048504, 1048283, 1047912, 1048418, 1047933, 1048372, 1047919, 1048337, 1048531, 1048158, 1047848, 1047901, 1048261, 1048421, 1048405, 1047948, 1180545, 1048058]","{'TTR': 0.2296646602228458, 'mean_sen_len': 0.04926980064780015, 'on': 0.02730624848480616, 'DT': 0.0221182291975702, 'as': 0.018762057774326484, 'it': 0.018700907065818385, 'this': 0.017862137231257687, 'VBZ': 0.017140707753732314, 'for': 0.016954345708058458, 'has': 0.014564774523918158}"
0.9051282051282051,0.904902497050857,0.9090112574341546,0.9051282051282051,0.90954,1,0.9538461538461539,0.9002695417789758,0.9488636363636364,0.8564102564102564,"[1264388, 1141660, 1148613, 1264256, 841232, 841512, 1208335, 1207530, 841207]","[1048539, 1048393, 1048458, 1047971, 1048476, 1048328, 1048434, 1048206, 1048055, 1048149, 1047918, 1048466, 1237453, 1180491, 1048533, 1237441, 1237471, 1180500, 1048367, 1048257, 1047958, 1047919, 1048396, 1048516, 1048414, 1048087, 1048467, 1047975]","{'TTR': 0.2184624408079882, 'mean_sen_len': 0.0440637472586275, 'by': 0.02061820904319551, 'it': 0.019958967196535112, 'be': 0.019698518386439275, 'not': 0.01796944793626911, 'on': 0.01768011017262143, 'DT': 0.01626263081268658, 'PRP': 0.015761095454461364, 'VBZ': 0.015454289215821154}"
0.9282051282051282,0.9281578947368422,0.9293342122610415,0.9282051282051282,0.93,1,0.9538461538461539,0.9263157894736842,0.9513513513513514,0.9025641025641026,"[1207819, 1144885, 1142394, 1145850, 1206231, 1263060, 1143934, 1147921, 1264463]","[1180504, 1047880, 1048488, 1048516, 1048333, 1047982, 1047896, 1048375, 1048142, 1048017, 1048244, 1047980, 1048082, 1180511, 1048295, 1047970, 1048256, 1048257, 1237511]","{'TTR': 0.19975412804948367, 'mean_sen_len': 0.04744315743812372, 'the': 0.02427681372844569, 'this': 0.02074088353672307, 'DT': 0.02019713270195824, 'on': 0.018927254868979847, 'not': 0.01802258670693182, 'for': 0.017623199503721838, 'is': 0.01707172182161755, 'RB': 0.016838148511532154}"
0.9282051282051282,0.9280840862990964,0.9311075220418862,0.9282051282051282,0.93103,1,0.9692307692307692,0.9251336898395722,0.9664804469273743,0.8871794871794871,"[1141735, 1207273, 1136549, 1264375, 1143504, 1143042]","[1048531, 1180511, 1047905, 1048260, 1237494, 1047890, 1048411, 1048396, 1048262, 1048087, 1048032, 1048207, 1048055, 1237442, 1048304, 1237471, 1180561, 1237489, 1048348, 1048017, 1047870, 1048082]","{'TTR': 0.21190364840432832, 'mean_sen_len': 0.0525668370353245, 'with': 0.0291002341584311, 'DT': 0.026198002805710753, 'the': 0.02056342805452577, 'it': 0.019394044774581478, 'on': 0.017773862182254872, 'is': 0.017520419534083793, 'NN': 0.016515135770765296, 'which': 0.015163710468515985}"
0.882051282051282,0.8816747572815534,0.8869769052502597,0.882051282051282,0.88835,1,0.9384615384615385,0.875,0.930635838150289,0.8256410256410256,"[1146715, 1146493, 1148898, 1146706, 1150238, 1149224, 1136646, 1148067, 1144665, 1141252, 840965, 1139227]","[1048330, 1237494, 1048411, 1048167, 1048094, 1237507, 1047970, 1048138, 1048539, 1048261, 1047999, 1180507, 1048405, 1048004, 1047982, 1047890, 1048371, 1047942, 1048461, 1048456, 1048428, 1048135, 1048466, 1047980, 1237489, 1048412, 1237435, 1180511, 1048368, 1048188, 1048458, 1180500, 1048328, 1048142]","{'TTR': 0.19427950992824974, 'mean_sen_len': 0.05134090731490023, 'this': 0.023471780256445866, 'it': 0.021727893737831416, 'for': 0.021516368574880426, 'DT': 0.020269868523523128, 'the': 0.02017724141023776, 'on': 0.018493511247301378, 'by': 0.018399590611011044, 'be': 0.017475823764341758}"
0.8948717948717949,0.894504885499205,0.9004427138894815,0.8948717948717949,0.90073,1,0.9538461538461539,0.888283378746594,0.9476744186046512,0.8358974358974359,"[1207398, 1143042, 1149232, 1264466, 1149432, 1137991, 1139632, 1138541, 1206493]","[1237507, 1048421, 1048412, 1237444, 1047971, 1047919, 1048438, 1048055, 1048334, 1048380, 1180561, 1047870, 1047905, 1048452, 1048058, 1048356, 1237441, 1048418, 1048417, 1048411, 1180484, 1047880, 1048283, 1180491, 1047890, 1047935, 1047933, 1048348, 1180507, 1048350, 1047926, 1048071]","{'TTR': 0.20250083863602836, 'mean_sen_len': 0.045147802089973224, 'it': 0.029500424633357104, 'by': 0.02117479892605948, 'this': 0.02099584437817755, 'on': 0.020280906844004676, 'not': 0.020141736899428535, 'the': 0.018858085573081718, 'DT': 0.018718384127669012, 'PRP': 0.017432669137765186}"
0.9230769230769231,0.9229472353204604,0.9259445577060552,0.9230769230769231,0.92611,1,0.9641025641025641,0.9197860962566845,0.9608938547486033,0.882051282051282,"[1143856, 1147520, 1149759, 1143299, 1148297, 1154899, 1206474]","[1048424, 1048434, 1048055, 1180566, 1047982, 1180556, 1180507, 1048158, 1048149, 1048094, 1048516, 1047920, 1047975, 1048334, 1237459, 1180504, 1180503, 1237494, 1048257, 1048418, 1048401, 1048256, 1047870]","{'TTR': 0.21901575890184982, 'mean_sen_len': 0.03966339102555365, 'it': 0.026502986553135897, 'DT': 0.0239726424816495, 'on': 0.021648044178732374, 'the': 0.020983930290644638, 'not': 0.017977358569205605, 'which': 0.01688259857531901, 'be': 0.01642043914204751, 'this': 0.016097668068678073}"
0.9,0.8997620914860385,0.9038338997451147,0.9,0.90465,1,0.9487179487179487,0.894878706199461,0.9431818181818182,0.8512820512820513,"[1265279, 1148115, 1137282, 1264623, 1146268, 1149928, 1141185, 1141643, 1142036, 1141395]","[1048142, 1048414, 1048348, 1048082, 1237444, 1237453, 1048368, 1047942, 1237430, 1180503, 1237507, 1048257, 1048401, 1048375, 1048448, 1048458, 1048380, 1048330, 1048396, 1180491, 1047905, 1180507, 1180500, 1237471, 1048256, 1048476, 1047856, 1048337, 1048393]","{'TTR': 0.21523557675857258, 'mean_sen_len': 0.04050081359469402, 'it': 0.021082081439633603, 'VBZ': 0.01975985467330319, 'not': 0.019220701996899132, 'this': 0.018022619954590046, 'DT': 0.017673889649206378, 'RB': 0.017548701474994717, 'on': 0.017311000448267527, 'JJ': 0.01693002713317894}"
