accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.8883248730964467,0.8881404052135761,0.8909034316395611,0.8883248730964467,0.89268,1,0.9289340101522843,0.8835978835978836,0.9226519337016574,0.8477157360406091,"[1079151, 1186775, 1080151, 1085683, 1085017, 1075513, 1187075, 1077744, 1081100, 1078195, 1083609, 1087249, 1073607, 1072177]","[864773, 864734, 864451, 864672, 864898, 864691, 864797, 864778, 864711, 864549, 864856, 1214578, 1214509, 864897, 864968, 864470, 864850, 864265, 864427, 864502, 1157772, 864977, 1214568, 864668, 864334, 864271, 1157754, 864960, 864828, 864830]","{'TTR': 0.1512146266506831, 'mean_sen_len': 0.07349293754923159, 'RB': 0.035814394946858, 'i': 0.025839709368971776, 'not': 0.020710408859194708, 'NNS': 0.01851022941839894, 'DT': 0.015381207097715234, 'VB': 0.015103196827983485, 'the': 0.014222142027142943, 'sentiment': 0.012517183866098068}"
0.8807106598984772,0.8803708130107561,0.8850865304420349,0.8807106598984772,0.88675,1,0.934010152284264,0.8739946380697051,0.9261363636363636,0.8274111675126904,"[1085313, 1244972, 1085670, 1076644, 1078687, 836189, 1077724, 1187293, 1073189, 1083640, 1187188, 1085662, 1084086]","[1214588, 1214592, 864552, 864508, 864282, 864493, 864857, 864850, 864730, 864568, 864977, 864349, 864856, 1157754, 864415, 1157740, 864695, 864897, 864932, 864398, 864781, 864638, 864522, 1214510, 864557, 1214578, 864712, 864848, 864797, 864788, 864451, 864495, 864689, 864447]","{'TTR': 0.15454769583067088, 'mean_sen_len': 0.058887080630916015, 'RB': 0.03528634785084175, 'i': 0.02790729801912509, 'NNS': 0.025284281775826, 'not': 0.020927198211614314, 'DT': 0.01745507246122687, 'the': 0.013529868759990914, 'NN': 0.013346343836983729, 'is': 0.01283384339331758}"
0.916243654822335,0.9161220816587211,0.9186709516898196,0.916243654822335,0.91932,1,0.9543147208121827,0.9129287598944591,0.9505494505494505,0.8781725888324873,"[1079140, 1087464, 1243101, 1081493, 1211040, 1071890, 1084729, 1187496, 1081948]","[864543, 1214528, 864503, 864355, 864977, 864594, 1157745, 864511, 864672, 864241, 864622, 1157742, 864838, 864867, 864263, 864700, 864902, 864719, 1157725, 1214507, 864903, 864762, 1214546, 864975]","{'TTR': 0.14626180539663228, 'mean_sen_len': 0.05576293733893578, 'RB': 0.03938008447051073, 'i': 0.03640045205708147, 'not': 0.025558394677837163, 'VB': 0.01704899146188583, 'sentiment': 0.015407985184807144, 'NNS': 0.014624156305390351, 'DT': 0.014040855212581357, 'the': 0.014014732991001986}"
0.8401015228426396,0.8388296939828973,0.851186675180928,0.8401015228426396,0.85315,1,0.9289340101522843,0.8245125348189415,0.9135802469135802,0.751269035532995,"[1075235, 1076650, 1081493, 1077350, 1079420, 1073064, 1186656, 1244818, 1074178, 1078327, 1243469, 1085156, 1077934, 1080550]","[864500, 864574, 864638, 864697, 864898, 864245, 1214564, 864778, 864493, 864630, 1157772, 864968, 864708, 864349, 864977, 864895, 864622, 864821, 1214568, 864241, 864855, 864932, 1214509, 864621, 1157742, 1214578, 864443, 864244, 864734, 864391, 864362, 864742, 864933, 1157696, 864522, 864511, 1157726, 864453, 864534, 864375, 1157715, 1214507, 864363, 1157732, 1157753, 864263, 864344, 864741, 1157756]","{'TTR': 0.14119195221550734, 'mean_sen_len': 0.07380308874923971, 'RB': 0.03104594823358354, 'i': 0.027963316864946706, 'not': 0.027922411467379397, 'NNS': 0.021013898949301824, 'the': 0.014441826793077563, 'DT': 0.014094063721012011, 'sentiment': 0.013768772380311245, 'is': 0.012600987270881034}"
0.8705583756345178,0.8700351203989367,0.8766237167399958,0.8705583756345178,0.87828,1,0.934010152284264,0.8617886178861789,0.9244186046511628,0.8071065989847716,"[1087174, 1082106, 1243301, 1087058, 1072032, 1086849, 1078195, 1074940, 1086264, 1076698, 1072584, 1085844, 1079284]","[1157754, 864977, 864755, 1157726, 864869, 864668, 864856, 864522, 1157724, 864557, 864401, 864351, 864933, 1157773, 1214508, 864816, 864691, 864245, 864555, 864363, 864511, 1214583, 864808, 864842, 864975, 864318, 1214588, 864282, 1214529, 864435, 864427, 864246, 1214557, 864432, 864666, 864903, 864838, 864788]","{'TTR': 0.1494607426018454, 'mean_sen_len': 0.06248488384553252, 'RB': 0.03950358074702648, 'i': 0.030202668842382634, 'NNS': 0.021852083937692227, 'not': 0.0171244274291466, 'DT': 0.016337504966282147, 'the': 0.01600103817555161, 'is': 0.015383381100624554, 'lex_density': 0.01487519552599899}"
0.868020304568528,0.8674430641821946,0.8745443579052264,0.868020304568528,0.87619,1,0.934010152284264,0.8586956521739131,0.9239766081871345,0.8020304568527918,"[1082760, 835835, 1086479, 1078153, 1186988, 1078920, 1074533, 1075723, 1082297, 1076504, 1073318, 1243824, 1080549]","[864534, 864897, 864259, 864867, 864788, 864375, 864838, 864397, 864936, 1214507, 864255, 1214546, 1214557, 864557, 864363, 864690, 864278, 864876, 864593, 864305, 1157696, 864334, 864265, 864693, 864829, 864282, 864952, 864517, 1157773, 1157692, 864724, 864522, 864427, 864856, 864689, 864531, 864574, 864503, 1157724]","{'TTR': 0.15721331397381028, 'mean_sen_len': 0.04396269407213814, 'RB': 0.03345343288707172, 'i': 0.03171854886241867, 'not': 0.02113282970964544, 'NNS': 0.018080661193510848, 'VB': 0.01599460792859253, 'is': 0.014708080562095422, 'of': 0.014167434744261465, 'DT': 0.012850115471341819}"
0.868020304568528,0.8669091853969079,0.8807346786447364,0.868020304568528,0.87907,1,0.9593908629441624,0.8547486033519553,0.9503105590062112,0.7766497461928934,"[1244930, 1084823, 1187289, 1085992, 1073662, 1186787, 1083617, 1186107]","[864975, 864305, 864787, 864691, 864918, 864375, 864902, 1157712, 1157739, 1214583, 864596, 864316, 864747, 864931, 1214529, 864582, 864584, 864497, 864771, 864545, 864508, 864781, 864518, 1214568, 864848, 864854, 864265, 864276, 864933, 1157715, 1157705, 864259, 864755, 864470, 864704, 864309, 864662, 865014, 864956, 864362, 864857, 864708, 864687, 864318]","{'TTR': 0.14944807617673675, 'mean_sen_len': 0.05511661528785493, 'RB': 0.02912855013872181, 'i': 0.026326126875241385, 'NNS': 0.02628181694603573, 'not': 0.019146223574277713, 'the': 0.01651540498065297, 'DT': 0.015547501514233654, 'VB': 0.01439323649700087, 'sentiment': 0.012511528397743402}"
0.850253807106599,0.8493210176632637,0.859147114774889,0.850253807106599,0.86118,1,0.9289340101522843,0.837465564738292,0.9156626506024096,0.7715736040609137,"[1078938, 1073559, 1083370, 1074425, 1085778, 1081820, 1071905, 1078089, 1242966, 1082388, 1185797, 1075545, 1072084, 1079393]","[864958, 864755, 864963, 864269, 1157712, 864713, 864829, 864246, 864584, 1157745, 864646, 864282, 864271, 864762, 864977, 864730, 864502, 864330, 1157728, 864574, 864850, 864265, 864386, 864555, 864596, 864381, 864375, 864975, 864752, 864443, 864773, 864666, 864478, 864630, 864568, 1214587, 864823, 864534, 864857, 864738, 1157742, 864884, 864255, 1214529, 864305]","{'TTR': 0.15619879254673583, 'mean_sen_len': 0.05663375686238327, 'RB': 0.0343230163757424, 'i': 0.02395801454579409, 'not': 0.02252316109209633, 'NNS': 0.0194162476516418, 'is': 0.013874814782223627, 'lex_density': 0.013710451804344452, 'the': 0.0135134232929088, 'DT': 0.01304379167010541}"
0.8553299492385786,0.855306647080426,0.8555589933993399,0.8553299492385786,0.85714,1,0.868020304568528,0.8534704370179949,0.8645833333333334,0.8426395939086294,"[1076289, 1087611, 1084492, 1086421, 1081228, 1185761, 1242272, 1243188, 1243289, 1080767, 1243779, 1078943, 1085501, 836072, 1080932, 1073189, 1242999, 1074788, 835605, 1188264, 1078062, 1242866, 1076074, 1077574, 1185845, 1084491]","[864447, 864522, 864936, 864975, 864752, 1214557, 864944, 1157756, 864241, 1157707, 1214588, 1214592, 864918, 864435, 864334, 1157772, 864711, 864602, 864531, 1214541, 864324, 1157727, 864869, 864246, 864638, 864375, 1157692, 864265, 864495, 864781, 864351]","{'TTR': 0.1476870279592184, 'mean_sen_len': 0.05648019411113981, 'i': 0.03356591091308063, 'RB': 0.03239679237070346, 'NNS': 0.02075103789831019, 'the': 0.018533703519382657, 'not': 0.01807702160946821, 'is': 0.016003286855254758, 'VB': 0.015552306547190545, 'DT': 0.013281949856598703}"
0.8807106598984772,0.8799675903419218,0.8903772986683577,0.8807106598984772,0.88941,1,0.9593908629441624,0.8705234159779615,0.9518072289156626,0.8020304568527918,"[1244856, 1243307, 1185555, 1242460, 1085032, 1072517, 1211029, 1082975]","[1157762, 864697, 864958, 864693, 864283, 1214557, 1157724, 864508, 864594, 864432, 864857, 864918, 864241, 864711, 1157726, 864381, 864963, 864816, 1157710, 864584, 864334, 864869, 864802, 864708, 864543, 1157772, 864443, 864391, 864451, 864902, 864318, 864996, 864252, 864349, 865014, 864773, 864975, 864907, 864522]","{'TTR': 0.15463247171252067, 'mean_sen_len': 0.05086685748104296, 'i': 0.028833460493894347, 'RB': 0.027188192733836228, 'not': 0.021540498316127907, 'NNS': 0.016888176838538622, 'is': 0.015721187101413302, 'DT': 0.014992752769022137, 'the': 0.013782402629293054, 'have': 0.013399806850326556}"
