accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.8261964735516373,0.8243694136808906,0.8408116751917117,0.8261964735516373,0.80672,1,0.7236180904522613,0.8421052631578947,0.7698744769874477,0.9292929292929293,"[1119112, 1125312, 1107038, 1261695, 1134073, 1204789, 1111696, 1111668, 1109887, 1117284, 1126544, 1116958, 1115625, 1119480, 1132866, 1111995, 1121542, 1112919, 1127183, 1106229, 1262716, 1116300, 1130074, 1118950, 1107229, 1107491, 1108512, 1128075, 1117435, 1134732, 1106455, 1260609, 1129349, 1120792, 1107056, 840116, 1106588, 1115747, 1203939, 1104828, 1205121, 1118058, 1120414, 1118197, 1260601, 1113461, 1260966, 1130731, 1134894, 1262118, 1261094, 1108711, 1125518, 1133703, 1203533]","[1029265, 1029251, 1028783, 1028808, 1028823, 1178159, 1029366, 1178113, 1028636, 1028667, 1029336, 1029180, 1029246, 1028948]","{'TTR': 0.049187651767519255, 'VBG': 0.024386866020845676, 'VBP': 0.021236051942835912, 'mean_sen_len': 0.020014633449003283, 'a': 0.01930131040453095, 'not': 0.01908290131272744, 'and': 0.0188031269533018, 'sentiment': 0.018606200808686486, 'lex_density': 0.018140733333738984, 'IN': 0.017732706864760864}"
0.8337531486146096,0.832952010039601,0.8405841252857592,0.8337531486146096,0.82162,1,0.7638190954773869,0.8443396226415094,0.7920353982300885,0.9040404040404041,"[1105596, 1121005, 1118753, 1260344, 1122893, 1120206, 1205096, 1106639, 1134566, 1122056, 1132374, 1130650, 1125633, 1121875, 1116028, 1121980, 1131989, 1107199, 840453, 1211663, 1106067, 1121775, 1112666, 1124551, 1107371, 1120714, 1105419, 1115916, 1111775, 1131857, 1115116, 1205886, 1134117, 1127069, 1133539, 1124091, 1260807, 1119234, 1124442, 1106905, 1130568, 1114947, 1126073, 1131932, 1204011, 1116266, 1128822]","[1029013, 1028796, 1028817, 1029298, 1029016, 1178118, 1029215, 1028606, 1029131, 1028859, 1029388, 1235024, 1029284, 1235045, 1029384, 1028609, 1029177, 1028973, 1029336]","{'TTR': 0.05613932617428364, 'VBG': 0.0267406240041798, 'a': 0.022221458085426235, 'that': 0.02189871043133125, 'of': 0.02004882270385747, 'i': 0.019204657104322433, 'mean_sen_len': 0.01887800259525575, 'and': 0.018790970519784327, 'DT': 0.01857618015260615, 'this': 0.018289984419264518}"
0.7909319899244333,0.7872123460409675,0.8133837789863972,0.7909319899244333,0.75942,1,0.6582914572864321,0.8151447661469933,0.7290836653386454,0.9242424242424242,"[1119706, 1119500, 1128950, 1111615, 1260396, 1134514, 1129110, 1120823, 1135097, 1130887, 1204466, 1133743, 1111051, 1120164, 1110834, 1107313, 1106452, 1130561, 1134969, 1125654, 1129999, 1134155, 1262593, 840354, 1121570, 1122791, 1123440, 1131617, 1118912, 1203700, 1121898, 1133759, 1130891, 1132795, 1112406, 1106804, 840756, 1111010, 1121315, 1121260, 1132470, 1120753, 1111034, 1126239, 1262342, 1130486, 1120970, 1119951, 1104883, 1113157, 1154863, 1109321, 1129624, 1114179, 1106624, 1121081, 1112442, 1119480, 1112592, 1261115, 840791, 840339, 1107858, 1126407, 1105406, 1107101, 1128645, 1115556]","[1028614, 1028925, 1029307, 1178159, 1029111, 1029302, 1028980, 1029241, 1029195, 1029314, 1235045, 1178110, 1235054, 1029053, 1028609]","{'TTR': 0.05561350227160012, 'VBG': 0.026249547376307594, 'not': 0.025176310095838428, 'on': 0.02171128621691516, 'i': 0.01921106640743541, 'but': 0.018461028634517523, 'a': 0.01840710668786116, 'RB': 0.01836745452666031, 'that': 0.018205045792688314, 'mean_sen_len': 0.017534620690061897}"
0.8211586901763224,0.8196347182438207,0.8327944876831026,0.8211586901763224,0.80332,1,0.7286432160804021,0.836027713625866,0.7702127659574468,0.9141414141414141,"[1260755, 1205798, 1120810, 1262025, 1123565, 1105413, 1112125, 1115634, 1127940, 1118854, 1104458, 1122206, 1106511, 1262748, 840354, 1118960, 1117950, 1123779, 1110248, 1123200, 1125285, 1114574, 1123178, 1114822, 1109793, 1129345, 1122400, 1106207, 1120485, 1203854, 1116411, 1109292, 1134388, 1121719, 1126143, 1120844, 1108267, 1261925, 1105397, 1119934, 1116181, 1111773, 1204386, 1119797, 1205648, 1110011, 1111774, 1124514, 1120323, 1134716, 1108943, 1203899, 1204997, 1203570]","[1029381, 1028684, 1029284, 1029251, 1029307, 1028820, 1029387, 1235045, 1028902, 1028976, 1029016, 1235072, 1029177, 1028935, 1178105, 1028775, 1028928]","{'TTR': 0.054983473147134566, 'VBG': 0.0261408384529241, 'of': 0.024628315397658043, 'a': 0.022257459229241435, 'VBP': 0.02068905243477797, 'that': 0.020570755901861353, 'i': 0.020350130696599376, 'and': 0.01788984283510447, 'on': 0.01761781602737491, 'RB': 0.017476846195170315}"
0.818639798488665,0.8170077423997959,0.8308400751716407,0.818639798488665,0.8,1,0.7236180904522613,0.8341013824884793,0.7669491525423728,0.9141414141414141,"[1122411, 1128960, 1120930, 1128420, 1111549, 1122358, 840356, 1113280, 1119751, 1122253, 1128704, 1123654, 1111294, 1114795, 1108173, 1124829, 1128175, 1203994, 1133332, 1261943, 1121120, 1126093, 1112270, 840408, 1105785, 1119095, 1126246, 1108763, 1117852, 1203615, 1128545, 1262647, 1131985, 1106244, 1127241, 1130842, 1121554, 1104570, 1122629, 1261324, 1205649, 1262064, 1125525, 1205707, 1107487, 1122363, 1123546, 1114893, 1109348, 1122376, 1121452, 1121810, 1122021, 1114499, 1127582]","[1235024, 1235045, 1028689, 1235094, 1235083, 1178115, 1235103, 1029284, 1028948, 1028614, 1029059, 1028906, 1235061, 1178118, 1028662, 1235054, 1028636]","{'TTR': 0.049603830704925335, 'a': 0.02910835048905561, 'PRP$': 0.02077425395305715, 'VBP': 0.02038011017705188, 'mean_sen_len': 0.01896066177633726, 'i': 0.018940704366932223, 'VBG': 0.01887130763495334, 'DT': 0.018811240455368063, 'this': 0.01812848980593606, 'sentiment': 0.017796659777447738}"
0.8413098236775819,0.8399575668924043,0.8536604650454982,0.8413098236775819,0.82548,1,0.7487437185929648,0.8545034642032333,0.7872340425531915,0.9343434343434344,"[1205383, 1113035, 1123805, 1107581, 1110515, 1106028, 1118010, 1107292, 1106147, 1116766, 1114761, 1124289, 1261666, 1114544, 1120824, 1105853, 1119747, 1116981, 1123816, 1154858, 1105714, 1126390, 1261269, 1116742, 1105119, 1123293, 1115734, 1104473, 1117550, 1126406, 1106379, 1117805, 1127193, 1261702, 1133980, 1127045, 1106006, 840136, 1106730, 1111445, 1105173, 1205264, 1127683, 1119431, 1204904, 1261220, 1116228, 1111255, 1204556, 1205358]","[1029057, 1029013, 1235094, 1235024, 1029302, 1028796, 1028775, 1028925, 1235103, 1029035, 1178117, 1178182, 1178159]","{'TTR': 0.054604088870081995, 'VBG': 0.02204305598260249, 'in': 0.021116666231320646, 'RB': 0.02077605806402072, 'a': 0.020463803638266817, 'that': 0.020279215598136377, 'it': 0.01991263282459169, 'NNS': 0.019239479945503266, 'DT': 0.018851373271361906, 'VBP': 0.018843926184198515}"
0.8413098236775819,0.8394708525303634,0.858186451584029,0.8413098236775819,0.82254,1,0.7336683417085427,0.856492027334852,0.7800829875518672,0.9494949494949495,"[1117288, 1261002, 1116761, 1122656, 1121294, 1205064, 1204410, 1260626, 1126684, 1105654, 1117156, 1114890, 1120625, 1129099, 1116483, 1116390, 1125106, 1123178, 1132059, 1123156, 1262431, 1112535, 1114879, 1119011, 1111106, 840356, 1108998, 1117284, 1131883, 1260448, 1126183, 1133220, 1261215, 1117074, 840485, 1117194, 1116745, 1204901, 1119455, 1109570, 1112705, 1105373, 1110314, 1126249, 1116326, 1128204, 1108568, 1260624, 1106395, 1110123, 1133480, 1117943, 1126382]","[1178117, 1235097, 1235054, 1029013, 1178169, 1028948, 1028636, 1029243, 1028928, 1028820]","{'TTR': 0.048065114770604656, 'i': 0.02089518671433656, 'VBG': 0.02006202127709029, 'a': 0.019157758556238035, 'of': 0.019127549635408803, 'RB': 0.0187592379434286, 'lex_density': 0.01874698733509107, 'mean_sen_len': 0.018590032723677034, 'VBP': 0.018519756925474765, 'and': 0.018502989539296393}"
0.8413098236775819,0.8401028074501928,0.8523242069103538,0.8413098236775819,0.82645,1,0.7537688442211056,0.8538283062645011,0.7896995708154506,0.9292929292929293,"[1124236, 1112651, 1124280, 1105362, 1123245, 1119296, 840582, 1128750, 1127368, 1117236, 1108950, 1122376, 1117495, 1124312, 1124829, 1204474, 1117035, 1118638, 1123072, 1117025, 1117775, 1204507, 1106847, 1108822, 1127293, 1106230, 1124629, 1109390, 1123867, 1122815, 1133947, 1126577, 1119441, 1131501, 840621, 1125447, 1108782, 1108426, 1132499, 1108292, 1122536, 1105949, 1124617, 1262167, 1113672, 1104333, 1118640, 1123005, 1116417]","[1028673, 1235097, 1029030, 1178169, 1029229, 1178118, 1028672, 1028808, 1029053, 1028631, 1235072, 1029131, 1029032, 1029013]","{'TTR': 0.0503359493030537, 'VBG': 0.028596916151727023, 'i': 0.02233300606739593, 'DT': 0.019688974419284265, 'VBN': 0.0196491795988739, 'a': 0.019283034220612873, 'sentiment': 0.018502471277091207, 'be': 0.01700086653057367, 'you': 0.016854266469313907, 'mean_sen_len': 0.016753760297834364}"
0.8312342569269522,0.8303604307935212,0.8385163277574813,0.8312342569269522,0.81843,1,0.7587939698492462,0.8423529411764706,0.788546255506608,0.9040404040404041,"[1105714, 1132077, 1116870, 1119183, 1107773, 1204845, 1131433, 1125307, 1116551, 1114318, 1126467, 1134481, 1121499, 1104470, 1131918, 1110009, 1126159, 1128798, 1111585, 1204909, 1133201, 1125865, 1125649, 1133802, 1131645, 1108591, 1204457, 1130890, 1116270, 1119096, 840167, 1109232, 1108141, 1104861, 1128093, 1110158, 1262001, 1108912, 1203850, 1123764, 1260963, 1127641, 1205379, 1114546, 1127347, 1261767, 1205311, 1110508]","[1028928, 1029292, 1028805, 1028662, 1029393, 1029085, 1029384, 1028921, 1028976, 1178169, 1235039, 1028672, 1028732, 1235059, 1029284, 1029366, 1235097, 1029247, 1029057]","{'TTR': 0.04984712709170739, 'DT': 0.026581893636607058, 'a': 0.021986165606987077, 'i': 0.021487399849696685, 'RB': 0.020725427720566555, 'that': 0.018988321025752184, 'but': 0.01868115910493576, 'VBN': 0.018220529940764455, 'lex_density': 0.018165703777542525, 'and': 0.0178892160418805}"
0.8236775818639799,0.8219153517611393,0.8374562029554943,0.8236775818639799,0.80447,1,0.7236180904522613,0.8394495412844036,0.7689075630252101,0.9242424242424242,"[1204641, 1111829, 1112559, 1122571, 1205154, 1262446, 1128635, 1119605, 1127561, 1122883, 1129316, 1111437, 1126139, 1129649, 1154848, 1132526, 1133369, 1260574, 1118563, 1117981, 1130258, 1119664, 1115408, 1119085, 1118598, 1125654, 1129895, 1133339, 1121223, 1131708, 1111578, 1112458, 1118396, 1131792, 1120507, 1126268, 1260337, 1127292, 1108071, 1119209, 1132940, 1261763, 1110748, 1123031, 1206007, 1126917, 1106097, 1112724, 1113057, 1205366, 1128530, 1132772, 1133963, 1128861, 1134310]","[1028906, 1028662, 1029243, 1029366, 1028687, 1028802, 1235054, 1029071, 1029255, 1235064, 1028780, 1029241, 1029387, 1235094, 1028980]","{'TTR': 0.05425688818714339, 'RB': 0.023061761703238037, 'sentiment': 0.02084953810195068, 'VBG': 0.020600360619775427, 'a': 0.02006789352435236, 'you': 0.019945029251750724, 'i': 0.019594004912967467, 'with': 0.019042706635120386, 'DT': 0.01894447576124499, 'mean_sen_len': 0.018693962428589183}"
