accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.8675,0.8674925464557381,0.8675827061088746,0.8675,0.86849,1,0.875,0.8664987405541562,0.8730964467005076,0.86,"[783557, 783732, 784345, 784326, 783520, 783245, 785583, 783376, 785219, 782954, 784598, 783383, 784816, 785548, 785400, 785749, 784661, 784436, 785029, 785417, 783439, 784471, 784786, 783423, 783062, 784505, 785734, 784742, 784931, 783675, 784688, 784574, 783159, 784763, 783233, 784119, 785849, 783840, 782997, 784772, 783462, 783634, 785002, 784890, 784765, 784706, 785112, 783507, 783088, 784469]","[797551, 795427, 795220, 797059, 796595, 797734, 796904, 796932, 795775, 795078, 796078, 797180, 797341, 797459, 795180, 797872, 796684, 795433, 796172, 797094, 794977, 797114, 796270, 797208, 797683, 797489, 797556, 796156, 794910, 796550, 796007, 796725, 797082, 795525, 796984, 796537, 797471, 796805, 796644, 795248, 796883, 795134, 795827, 797535, 796189, 797176, 796858, 796334, 796777, 797182, 795959, 795218, 796571, 797661, 797354, 795434]","{'will': 0.06327259142441101, 'this': 0.060466699211043175, 'should': 0.031301198149327046, 'not': 0.03028599318418505, 'RB': 0.026903801852996383, 'be': 0.02278041012719783, 'there': 0.02275202108897888, 'just': 0.02073672631080968, 'mean_sen_len': 0.018920280550505535, 'do': 0.017812614446886914}"
0.86625,0.8662146723119073,0.8666372606065156,0.86625,0.86404,1,0.85,0.8683886838868389,0.8547215496368039,0.8825,"[783840, 783510, 783056, 785638, 784947, 785820, 783878, 785176, 783627, 783559, 783539, 783983, 783530, 785436, 784387, 784705, 783247, 784610, 783702, 784742, 785256, 783258, 784187, 785621, 784626, 785061, 784436, 784052, 785292, 784240, 784577, 785601, 784785, 784958, 785207, 785349, 783551, 784037, 785581, 785151, 785112, 784118, 783811, 785132, 783360, 783917, 785115, 784348, 783766, 784077, 783610, 785374, 783383, 784627, 783934, 783080, 784807, 783575, 784646, 784886]","[795933, 795446, 797411, 795153, 797079, 796276, 796672, 797031, 797382, 796331, 797218, 796515, 796826, 797395, 796457, 796458, 796153, 795530, 797034, 797202, 796928, 795710, 796524, 796334, 796935, 797392, 795017, 795244, 795984, 797770, 797013, 797271, 796667, 795109, 795751, 796553, 796408, 796689, 797342, 796044, 797475, 795272, 795514, 795161, 797645, 795292, 794907]","{'this': 0.060876846817236444, 'will': 0.0595026360233941, 'not': 0.042044702419999476, 'should': 0.026739269518143455, 'RB': 0.02391439437757058, 'so': 0.022438959726781182, 'do': 0.02106747754796796, 'be': 0.017639736337904586, 'more': 0.017384669553783542, 'there': 0.017241536887723036}"
0.87375,0.8737340194618382,0.8739393067740544,0.87375,0.87231,1,0.8625,0.8751545117428925,0.8655256723716381,0.885,"[783774, 788890, 783387, 784881, 783054, 784688, 783867, 784503, 785708, 784816, 783714, 784265, 783854, 783684, 785128, 784687, 783690, 783557, 784390, 783360, 783090, 784707, 785887, 785173, 783675, 784748, 783450, 783439, 783224, 783167, 785151, 784129, 785376, 785452, 783559, 783247, 785225, 785163, 783461, 784332, 783553, 783233, 783161, 782914, 784262, 785629, 784872, 784226, 784755, 785111, 784730, 785275, 784345, 783117, 783125]","[795795, 795988, 795360, 796805, 796507, 796369, 796165, 797840, 795244, 795684, 795751, 797705, 796571, 796606, 795507, 797700, 795457, 796777, 794994, 796608, 797488, 795295, 796749, 797115, 796010, 797368, 795668, 796935, 797489, 795292, 797539, 797683, 795903, 795557, 795087, 796285, 797422, 795175, 795760, 796888, 796151, 795715, 797861, 797661, 797030, 795577]","{'will': 0.07231647440460005, 'this': 0.06292654937183749, 'should': 0.0329505739716577, 'not': 0.02527061213820025, 'do': 0.023163943401789913, 'there': 0.022699228389520827, 'be': 0.021801103109032837, 'PRP': 0.02067379594528861, 'RB': 0.01972225582210877, 'JJR': 0.01916012675274815}"
0.8475,0.8474914213924533,0.8475782050961466,0.8475,0.84635,1,0.84,0.8486352357320099,0.8423645320197044,0.855,"[785002, 783166, 783719, 783811, 785275, 784642, 785227, 782999, 783090, 783035, 783840, 784052, 783958, 785018, 784478, 782954, 785417, 785097, 784533, 784951, 783274, 785143, 785055, 785540, 785699, 784407, 784423, 783249, 783415, 785288, 784152, 784909, 783520, 783643, 783062, 784110, 785664, 783987, 783279, 783524, 784538, 783490, 785609, 784627, 784284, 783783, 784582, 784505, 785495, 785111, 783574, 784705, 783079, 785564, 783247, 785151, 785395, 785792, 785162, 784930, 784469, 785177, 783125, 785305]","[795778, 797664, 796652, 795772, 795134, 795253, 794910, 797082, 796515, 796667, 795795, 795457, 795170, 797411, 796399, 797667, 797036, 795723, 797488, 796988, 795417, 795427, 795816, 795180, 796617, 796820, 796187, 795400, 795697, 797052, 795295, 796962, 796185, 795347, 797158, 796986, 797228, 794976, 797709, 796211, 796868, 795344, 796334, 797551, 795692, 797771, 795898, 797528, 797311, 796450, 796883, 797063, 794934, 797705, 795871, 796935, 797815, 795220]","{'will': 0.06667624605839612, 'this': 0.06547023742151592, 'should': 0.032432653497438936, 'do': 0.02691289628364686, 'not': 0.024782715140806634, 'so': 0.0243466987979388, 'PRP': 0.023482605877292315, 'RB': 0.02092000286579942, 'JJR': 0.018613705275645605, 'be': 0.01851851880077377}"
0.8625,0.8623959369273012,0.8635998896662404,0.8625,0.85861,1,0.835,0.8661800486618005,0.8436018957345972,0.89,"[783878, 782984, 783249, 784381, 785406, 785106, 784489, 783875, 783383, 785233, 783439, 783493, 784088, 785713, 783694, 784786, 784761, 784370, 783565, 784542, 785115, 785165, 785699, 783427, 785609, 784282, 784348, 783867, 784387, 784086, 783168, 783962, 788890, 784909, 783037, 785176, 782999, 785643, 785434, 783980, 784791, 783051, 784806, 785153, 783658, 785541, 785477, 783034, 784939, 785274, 783233, 783945, 784603, 784890, 785131, 785275, 785071, 784526, 783783, 785219, 783409, 784365, 784451, 784978, 783258, 783110]","[797700, 795390, 795694, 797034, 796408, 796881, 796008, 797437, 797516, 796988, 797672, 795097, 796294, 797756, 796002, 796042, 796986, 795740, 796254, 796453, 796667, 796443, 797393, 796876, 796089, 796121, 797517, 796512, 796297, 795677, 795117, 797036, 796537, 796172, 794953, 797291, 795904, 795775, 796984, 794907, 796263, 796044, 796638, 797180]","{'will': 0.0636028297146157, 'this': 0.05729444304095573, 'not': 0.03316379039741446, 'should': 0.030309109581203527, 'be': 0.023494923379093747, 'so': 0.023254774722974055, 'do': 0.020742026035031447, 'JJR': 0.02022658538131635, 'there': 0.020209903137810067, 'RB': 0.019457965623372393}"
0.86,0.8599991249945313,0.8600090002250056,0.86,0.86035,1,0.8625,0.8596491228070176,0.8618090452261307,0.8575,"[785345, 783387, 784793, 785845, 785502, 785062, 783239, 783774, 784110, 784675, 785194, 785792, 783370, 784119, 783104, 783245, 784451, 784020, 785378, 785143, 785849, 784145, 783405, 785097, 784958, 785071, 784092, 785344, 784240, 784665, 783487, 784598, 783700, 785288, 783814, 785548, 784318, 785733, 783457, 785481, 783857, 785708, 783507, 783575, 784461, 785541, 785256, 785184, 783032, 785351, 783409, 783710, 785569, 782922, 784697]","[795432, 796297, 796984, 795824, 796577, 797384, 796883, 797311, 797410, 796042, 797036, 797167, 796447, 797459, 796458, 796849, 795389, 795507, 797041, 795409, 796995, 796441, 797279, 795768, 797651, 795760, 797380, 794934, 795523, 796431, 795244, 797484, 795176, 797354, 794913, 796270, 797765, 796689, 795427, 796055, 796276, 796331, 795134, 796868, 795435, 797488, 797054, 797395, 795534, 796904, 795386, 795753, 797193, 795226, 796450, 796037, 797635]","{'will': 0.06820266568161, 'this': 0.0588503813678461, 'should': 0.03501623933003148, 'not': 0.02977119324967295, 'do': 0.023445982791478047, 'so': 0.022472608205876595, 'RB': 0.020713391981070625, 'mean_sen_len': 0.02022494265769073, 'be': 0.018891879596017732, 'there': 0.01787789327170906}"
0.865,0.8649991562447265,0.8650091252281308,0.865,0.86534,1,0.8675,0.8646616541353384,0.8668341708542714,0.8625,"[783610, 783360, 783450, 783600, 783929, 784645, 783130, 784258, 783475, 783766, 785473, 783905, 784862, 783253, 783838, 784557, 783507, 784642, 785417, 783201, 783222, 783233, 785227, 785530, 783073, 785194, 784298, 783224, 784077, 785131, 784718, 785344, 783482, 784675, 782941, 784062, 783287, 783719, 785528, 785434, 788892, 785512, 785734, 785439, 784986, 783125, 785863, 785062, 785176, 783248, 783062, 784494, 784786]","[795637, 796820, 795157, 796850, 796489, 797094, 797606, 795883, 796732, 795530, 795328, 796561, 796984, 795074, 797291, 795218, 796263, 795782, 795903, 796872, 795164, 797330, 795611, 795017, 797182, 797771, 795451, 796170, 795232, 796231, 797272, 796457, 795684, 796188, 795933, 797700, 795705, 797176, 797274, 796930, 795265, 797163, 797765, 797508, 796039, 796689, 797395, 795753, 795955, 795244, 796334, 794978, 796536, 797017, 796431]","{'will': 0.06025924073348533, 'this': 0.05988115112992404, 'RB': 0.027536527278041154, 'not': 0.02696799364590764, 'so': 0.02444341828472073, 'PRP': 0.022790991507329147, 'should': 0.0226466972675017, 'there': 0.02027314581181139, 'but': 0.01869643167877151, 'JJR': 0.017866066165648904}"
0.85625,0.8562120309894331,0.8566266869380783,0.85625,0.85388,1,0.84,0.8585485854858549,0.8450363196125908,0.8725,"[783159, 783457, 783539, 782999, 784619, 783274, 785113, 785500, 784351, 785207, 785601, 785622, 785818, 784672, 783394, 784645, 785256, 784862, 783241, 783073, 783811, 783696, 784890, 783034, 784641, 783245, 783143, 784922, 784451, 783258, 783588, 785288, 785241, 783117, 783806, 783766, 783886, 785225, 784951, 784806, 783181, 783065, 783694, 785055, 783717, 784240, 784884, 784104, 785541, 784050, 784119, 784326, 784265, 785863, 785106, 785318, 784110, 783574, 784166, 784316, 783253, 785071, 783905, 783980]","[795389, 797635, 795102, 796106, 796909, 797648, 797063, 797034, 795457, 796638, 795083, 797330, 796294, 797528, 795219, 797871, 797861, 796317, 797030, 796971, 797849, 796820, 796904, 797050, 795514, 797049, 796187, 796863, 797395, 796275, 796431, 797354, 796664, 795163, 795466, 796343, 794934, 795883, 796121, 797551, 795816, 797053, 797067, 796858, 796211, 797601, 796571, 796008, 797312, 797182, 795272]","{'this': 0.06108619230477217, 'will': 0.05610668606307112, 'not': 0.03519309896145635, 'so': 0.031879543769184275, 'should': 0.026934312489597916, 'RB': 0.025700441857431436, 'do': 0.021503006861647193, 'there': 0.021346614816634864, 'be': 0.02103725332788675, 'PRP': 0.01912414221034915}"
0.85,0.8499765588373183,0.8502188868042526,0.85,0.8481,1,0.8375,0.8518518518518519,0.8414634146341463,0.8625,"[785602, 785850, 785621, 782914, 782934, 783369, 785834, 784451, 785652, 783708, 783095, 785734, 785275, 785673, 784533, 785292, 785500, 783638, 783034, 783137, 783954, 785548, 785644, 783343, 783249, 784866, 783090, 783838, 785482, 784087, 784410, 783239, 784348, 783080, 785556, 784880, 783248, 785601, 785368, 783929, 782999, 784951, 784520, 783375, 785102, 784326, 783054, 784909, 785612, 785400, 783551, 785540, 783279, 785749, 784145, 785176, 783688, 785481, 785512, 783565, 785648, 783125, 783060, 785233, 785846]","[795033, 795677, 796010, 797886, 796904, 797202, 795684, 797052, 797259, 795244, 795933, 796061, 797782, 796399, 796443, 795592, 795389, 796082, 795657, 795751, 797489, 797815, 795604, 796175, 796799, 796334, 795883, 797208, 797299, 796458, 795311, 795285, 795446, 797721, 796369, 796106, 796078, 796165, 797079, 795134, 795313, 795709, 797849, 795174, 795092, 796792, 794953, 796928, 797114, 797115, 797427, 797354, 797398, 796187, 796588]","{'will': 0.06335136551737337, 'this': 0.05815303960651798, 'should': 0.03970713287791492, 'so': 0.028562138533712384, 'not': 0.028491804506364037, 'RB': 0.02438152196811458, 'JJR': 0.021678325139914863, 'be': 0.021180950074407418, 'PRP': 0.019652815782284876, 'do': 0.01723641558368323}"
0.86125,0.8612497832027863,0.8612522578266115,0.86125,0.86142,1,0.8625,0.8610763454317898,0.8621553884711779,0.86,"[784037, 785305, 783248, 783284, 783201, 785439, 783802, 784687, 783383, 784192, 783161, 784591, 785681, 784226, 785749, 783611, 785479, 783574, 784387, 785540, 784752, 784661, 783983, 783643, 783945, 785887, 783627, 783087, 784332, 784063, 782954, 785228, 785636, 783806, 785329, 785061, 783783, 785345, 785184, 784997, 784020, 784453, 784598, 788890, 785162, 782956, 785256, 783487, 783905, 784538, 785097, 785713, 784673, 785807, 784675]","[795775, 797535, 797700, 795546, 797064, 796431, 796188, 796002, 797447, 796986, 795884, 795175, 796007, 796187, 795126, 795083, 797163, 796732, 797661, 797742, 797052, 795824, 796596, 795928, 796009, 795600, 797422, 796270, 797427, 797601, 796266, 796628, 796826, 796909, 795226, 797484, 796537, 795386, 796489, 797770, 797041, 796595, 795753, 797489, 795984, 796638, 795690, 795347, 795272, 795371, 797864, 797114, 797651, 796667, 795637, 796254]","{'will': 0.06527304195927006, 'this': 0.0596553034464757, 'not': 0.03832685641692968, 'should': 0.03580115193179292, 'so': 0.024533268605782307, 'RB': 0.02137748223390847, 'do': 0.02028886632580431, 'there': 0.019924320723475865, 'PRP': 0.018574600027240477, 'be': 0.01704412502560075}"
