accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.9410112359550562,0.9410093741123,0.9410669191919192,0.9410112359550562,0.94068,1,0.9353932584269663,0.9413407821229051,0.9361111111111111,0.9466292134831461,"[1411488, 1392319, 1398852, 1391965, 1398528, 1405203, 1392034, 1398809, 1405221, 1392315, 1392156, 1392165, 1411271, 1404972, 1405269, 1392405, 1411425, 1398443, 1398519, 1411471, 1411389, 1392102, 1398656]","[1416214, 1416468, 1417255, 1398918, 1393394, 1393183, 1417975, 1416930, 1416076, 1415175, 1415292, 1392693, 1406097, 1392893, 1418110, 1415383, 1417122, 1399505, 1417774]","{'said': 0.0611769777922302, 'VBD': 0.057929782693847146, 'mean_sen_len': 0.04410651402571008, 'and': 0.041307670533708624, 'VBG': 0.035236003228777825, 'sentiment': 0.026491971729679886, 'PRP$': 0.025825513153205436, 'was': 0.02564403794539427, 'has': 0.0229959372187636, 'who': 0.01897179525686862}"
0.9424157303370787,0.9424128904223357,0.942503018680304,0.9424157303370787,0.94282,1,0.949438202247191,0.942008486562942,0.9487179487179487,0.9353932584269663,"[1398719, 1405147, 1398651, 1398846, 1392084, 1392098, 1404818, 1392315, 1392165, 1405203, 1398439, 1411453, 1398841, 1405151, 1398481, 1405127, 1404971, 1398519]","[1415147, 1416970, 1405397, 1411759, 1393176, 1392915, 1418168, 1392459, 1399093, 1398886, 1416130, 1405953, 1405586, 1416140, 1418632, 1416978, 1415253, 1416006, 1417736, 1406191, 1393383, 1417708, 1416016]","{'said': 0.0696158995300629, 'VBD': 0.061134257648939434, 'mean_sen_len': 0.04414384361553749, 'and': 0.04162660683490867, 'VBG': 0.03653115421501927, 'was': 0.026769772773733488, 'has': 0.024191508527871733, 'sentiment': 0.023998277295159565, 'PRP$': 0.02130618489574075, 'their': 0.019946166397824813}"
0.9438202247191011,0.9438197814337004,0.9438342328693621,0.9438202247191011,0.94398,1,0.9466292134831461,0.9436619718309859,0.9463276836158192,0.9410112359550562,"[1398593, 1392156, 1398835, 1411488, 1398779, 1398451, 1411368, 1404818, 1411357, 1405184, 1398559, 1405094, 1398795, 1392404, 1392072, 1411228, 1404870, 1392186, 1405288]","[1392570, 1393174, 1399067, 1405358, 1392459, 1417248, 1415842, 1393089, 1417047, 1399803, 1399370, 1416888, 1415761, 1392463, 1417651, 1416550, 1417140, 1415901, 1399668, 1418018, 1417212]","{'said': 0.062179541845275646, 'VBD': 0.05672918290801587, 'and': 0.04489545405898317, 'mean_sen_len': 0.04175262713347717, 'VBG': 0.030651474087494104, 'sentiment': 0.025197637651673106, 'was': 0.02424918514755984, 'has': 0.023639291157851107, 'been': 0.021865925523630727, 'PRP$': 0.021111626435390732}"
0.9452247191011236,0.9452237466341838,0.945256338428275,0.9452247191011236,0.94499,1,0.9410112359550562,0.9454545454545454,0.9415041782729805,0.949438202247191,"[1398528, 1411348, 1398461, 1391978, 1392117, 1404996, 1398809, 1398519, 1405203, 1404835, 1411447, 1392315, 1404972, 1392391, 1398520, 1392165, 1392389, 1392184, 1404827, 1392241, 1405269]","[1405352, 1399650, 1399111, 1405659, 1399721, 1398943, 1411569, 1416274, 1416905, 1405718, 1406251, 1393009, 1417335, 1417240, 1393291, 1411619, 1405357, 1399524]","{'said': 0.06053714601691361, 'VBD': 0.05596183809890754, 'mean_sen_len': 0.04304027230797077, 'and': 0.041776402016613215, 'VBG': 0.032077951298452104, 'sentiment': 0.03053247419722981, 'PRP$': 0.02379530547399062, 'was': 0.023278976717907494, 'has': 0.02242623767735514, 'because': 0.01987429776699047}"
0.9424157303370787,0.9424156167458669,0.9424192212096106,0.9424157303370787,0.94233,1,0.9410112359550562,0.9424964936886395,0.9411764705882353,0.9438202247191011,"[1398439, 1398519, 1398408, 1392103, 1411368, 1398719, 1398613, 1411402, 1392288, 1405221, 1392104, 1392019, 1405127, 1405270, 1398656, 1411406, 1392381, 1411447, 1411271, 1392158, 1405191]","[1416888, 1416550, 1416905, 1417103, 1399577, 1417099, 1399721, 1416307, 1393301, 1398921, 1417763, 1417851, 1392527, 1416618, 1399505, 1405791, 1405889, 1415176, 1418357, 1415632]","{'said': 0.06136251420464649, 'VBD': 0.06102811681409432, 'and': 0.044489934868144225, 'mean_sen_len': 0.03828447512614185, 'sentiment': 0.03200663436030607, 'VBG': 0.02924591486915007, 'was': 0.024327537148892617, 'has': 0.024228155552752418, 'PRP$': 0.0198472850159718, 'that': 0.01836228412119815}"
0.9382022471910112,0.9381944444444446,0.9384236453201971,0.9382022471910112,0.93889,1,0.949438202247191,0.9375,0.9482758620689655,0.9269662921348315,"[1392415, 1404841, 1398528, 1392103, 1411228, 1392318, 1392019, 1392158, 1398603, 1398439, 1398785, 1405079, 1398851, 1392034, 1398411, 1398520, 1411348, 1398841]","[1398951, 1398922, 1411675, 1392463, 1417271, 1417994, 1398918, 1412112, 1405361, 1392454, 1392666, 1416179, 1417122, 1415591, 1416747, 1415824, 1399516, 1417212, 1416468, 1418632, 1415842, 1399721, 1418019, 1393409, 1417333, 1393248]","{'said': 0.06536015053329663, 'VBD': 0.060849031956713616, 'mean_sen_len': 0.044933418787632934, 'and': 0.03712459523160593, 'sentiment': 0.03437563802509532, 'VBG': 0.031331104227035576, 'but': 0.02190323383032882, 'PRP$': 0.021275581686857382, 'has': 0.021018077033801572, 'that': 0.019393193117817696}"
0.9578651685393258,0.9578648360752752,0.9578796199854812,0.9578651685393258,0.95775,1,0.9550561797752809,0.957983193277311,0.9553072625698324,0.9606741573033708,"[1404870, 1411402, 1398531, 1405274, 1392418, 1392162, 1392072, 1392256, 1391962, 1405077, 1405029, 1391964, 1392415, 1392288, 1392039, 1392019]","[1398885, 1393217, 1415253, 1399689, 1415176, 1399303, 1393387, 1393395, 1405363, 1398854, 1411531, 1418030, 1405602, 1399405]","{'said': 0.06644265209192143, 'VBD': 0.05378959591618265, 'mean_sen_len': 0.04137718351357101, 'and': 0.04008007895463393, 'sentiment': 0.032427790428504494, 'VBG': 0.02945256235885618, 'PRP$': 0.027229846987026008, 'has': 0.022956714472104626, 'been': 0.02058604696772423, 'was': 0.01976940054674042}"
0.9438202247191011,0.9438131313131314,0.9440444612858404,0.9438202247191011,0.94444,1,0.9550561797752809,0.9431818181818182,0.9540229885057471,0.9325842696629213,"[1392138, 1398773, 1398779, 1405147, 1398593, 1392367, 1398785, 1398522, 1398852, 1398835, 1411452, 1398851, 1411389, 1411357, 1398508, 1404996]","[1417887, 1411621, 1417662, 1418228, 1393174, 1418108, 1418144, 1417883, 1405791, 1417141, 1415575, 1417061, 1417774, 1416956, 1399308, 1405822, 1392755, 1417046, 1416223, 1399440, 1399675, 1405509, 1417142, 1416274]","{'VBD': 0.05771130038362726, 'said': 0.0575135018721596, 'mean_sen_len': 0.04430612964203377, 'and': 0.04295399889710169, 'VBG': 0.032547958213053584, 'sentiment': 0.028587587526574823, 'PRP$': 0.022557130924515254, 'has': 0.021412095631750967, 'was': 0.019717675545902893, 'that': 0.018962799963102284}"
0.9367977528089888,0.936782663770192,0.9372151798760021,0.9367977528089888,0.93776,1,0.952247191011236,0.9358059914407989,0.9507246376811594,0.9213483146067416,"[1392368, 1398809, 1392084, 1404972, 1398779, 1398535, 1392389, 1404990, 1392107, 1398411, 1398408, 1411228, 1411471, 1404996, 1398852, 1398538, 1398559]","[1415105, 1398944, 1392443, 1398921, 1398886, 1415761, 1415632, 1399440, 1417122, 1392442, 1405953, 1415556, 1417708, 1416138, 1405837, 1416131, 1398922, 1412099, 1406135, 1415125, 1415977, 1417255, 1411708, 1418569, 1405769, 1393106, 1417578, 1415176]","{'said': 0.06318506313362324, 'VBD': 0.05793474744618517, 'mean_sen_len': 0.04293911508419933, 'and': 0.03529100353575744, 'VBG': 0.03369544327826208, 'was': 0.025372811005951023, 'sentiment': 0.024661597766124924, 'that': 0.022131140665119352, 'PRP$': 0.021776012274708566, 'but': 0.021162417553160943}"
0.9424157303370787,0.9424147080000395,0.942447150173207,0.9424157303370787,0.94217,1,0.9382022471910112,0.9426573426573427,0.9387186629526463,0.9466292134831461,"[1392207, 1405184, 1398841, 1398851, 1398852, 1392319, 1411402, 1398651, 1398835, 1398809, 1405270, 1405221, 1405203, 1392043, 1392034, 1392404, 1404851, 1392158, 1392288, 1404996, 1411406, 1405269]","[1416923, 1417972, 1416468, 1411595, 1418110, 1393183, 1415752, 1415080, 1416888, 1417630, 1393382, 1399564, 1417140, 1393409, 1393387, 1418074, 1392691, 1417109, 1418267]","{'said': 0.06449190623465703, 'VBD': 0.050825655583543086, 'and': 0.04352720585944429, 'mean_sen_len': 0.04071294078865009, 'VBG': 0.02836921800945265, 'PRP$': 0.027933919332188833, 'was': 0.026308018684465428, 'sentiment': 0.026180899119655533, 'their': 0.022845792130467203, 'because': 0.020385723272189765}"
