accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.9760225669957687,0.9760138823727316,0.9766624047532256,0.9760225669957687,0.97649,1,0.9943661971830986,0.9755395683453237,0.9941348973607038,0.9576271186440678,"[1522869, 1516511]","[1529898, 1517512, 1529568, 1540970, 1540469, 1523507, 1530267, 1542672, 1541294, 1535901, 1539946, 1523238, 1539891, 1539923, 1517500]","{'here': 0.28413462424510805, 'mean_sen_len': 0.0884625246309401, 'for': 0.05153931500847988, 'the': 0.04002915717216332, 'DT': 0.03270577900831389, 'your': 0.02570721429979328, 'or': 0.021530099708253994, 'PRP$': 0.019881207512197064, 'very': 0.01711493936604873, 'such': 0.016480188348558623}"
0.9915373765867419,0.9915372755750673,0.9915529553275343,0.9915373765867419,0.99157,1,0.9943661971830986,0.9915014164305949,0.9943181818181818,0.9887005649717514,"[1535749, 1529454]","[1540256, 1541908, 1536114, 1523511]","{'here': 0.2925136416086457, 'mean_sen_len': 0.08053833618440753, 'for': 0.04347956020812417, 'the': 0.04201751038215962, 'DT': 0.03153844165615887, 'your': 0.02764829083185137, 'or': 0.02417522488417693, 'very': 0.020734531893159883, 'PRP$': 0.01897602700178718, 'such': 0.017653594417797916}"
0.9802538787023978,0.9802510499703376,0.9804979690840261,0.9802538787023978,0.9805,1,0.9915492957746479,0.98,0.9913294797687862,0.9689265536723164,"[1516413, 1522869, 1529396]","[1529814, 1542663, 1530268, 1523977, 1542340, 1517006, 1539866, 1530525, 1540879, 1536054, 1530206]","{'here': 0.30306024083849786, 'mean_sen_len': 0.08550400972314551, 'for': 0.043823596597866915, 'the': 0.042457904879082776, 'DT': 0.03648084360684162, 'or': 0.024846994451536063, 'your': 0.02482381986301503, 'very': 0.018245259888694434, 'such': 0.01804859210762681, 'JJ': 0.017580253964817563}"
0.9717912552891397,0.9717759827956259,0.9727526174432117,0.9717912552891397,0.97245,1,0.9943661971830986,0.9710982658959537,0.9940828402366864,0.9491525423728814,"[1522869, 1535537]","[1539914, 1541908, 1529568, 1536272, 1523349, 1523771, 1540470, 1541639, 1517012, 1523340, 1542558, 1530008, 1539474, 1541194, 1536176, 1539930, 1523766, 1540307]","{'here': 0.30346553725603975, 'mean_sen_len': 0.08894992512793207, 'for': 0.04925055613538823, 'the': 0.043822480680134446, 'DT': 0.030626984649172934, 'your': 0.024414060697437377, 'or': 0.020017937627276234, 'very': 0.01698422570120618, 'sentiment': 0.016251502617926118, 'when': 0.015940477295107697}"
0.9858956276445698,0.9858925404888887,0.9862820488049926,0.9858956276445698,0.98611,1,1.0,0.9856733524355301,1.0,0.9717514124293786,[],"[1529800, 1517149, 1541483, 1523752, 1540955, 1523553, 1523535, 1524064, 1516868, 1517128]","{'here': 0.28040684283775513, 'mean_sen_len': 0.08687234322672115, 'for': 0.05768872917444337, 'the': 0.04580446119774062, 'DT': 0.03152833355306888, 'your': 0.024567875925660083, 'or': 0.019913662666157645, 'when': 0.01916955620069553, 'PRP$': 0.01722832759152514, 'very': 0.017077802022351096}"
0.9816643159379408,0.9816638782145887,0.9816985952939495,0.9816643159379408,0.98177,1,0.9859154929577465,0.9815602836879432,0.9857549857549858,0.9774011299435028,"[1529454, 1522887, 1516413, 1522869, 1535537]","[1540387, 1517347, 1517274, 1523258, 1536146, 1523751, 1530076, 1542012]","{'here': 0.30907469432041046, 'mean_sen_len': 0.0913543390307261, 'for': 0.04823788248356704, 'the': 0.041526454895672645, 'DT': 0.035586119923662146, 'your': 0.025911483583181436, 'or': 0.020645611180688604, 'when': 0.0173656384517779, 'on': 0.015895477710237825, 'JJ': 0.015820257465145066}"
0.9858956276445698,0.9858936071216697,0.9861427725249008,0.9858956276445698,0.98607,1,0.9971830985915493,0.9857142857142858,0.9971098265895953,0.9745762711864406,[1516511],"[1517128, 1542602, 1523882, 1529967, 1517468, 1530267, 1542663, 1540928, 1540526]","{'here': 0.28132444199581114, 'mean_sen_len': 0.07013573330319288, 'for': 0.05318882481250795, 'the': 0.04283775761780946, 'your': 0.03369315420424876, 'DT': 0.026113511849283556, 'or': 0.02285811228270337, 'PRP$': 0.018998316742436867, 'such': 0.01758821403566115, 'very': 0.01714974764475599}"
0.9802538787023978,0.9802477487096366,0.9808039215805258,0.9802538787023978,0.98061,1,0.9971830985915493,0.9798850574712644,0.9970760233918129,0.963276836158192,[1529422],"[1541894, 1540090, 1539929, 1523921, 1523750, 1541194, 1517467, 1539891, 1523780, 1523659, 1523287, 1523146, 1535901]","{'here': 0.31566259614149983, 'mean_sen_len': 0.07679906348233742, 'for': 0.0518791005046895, 'the': 0.04127504662961812, 'DT': 0.027315690364257274, 'your': 0.02486972216552024, 'or': 0.022623194843867732, 'very': 0.01763891302833611, 'JJ': 0.014355237702292982, 'when': 0.014242738732204581}"
0.9774330042313117,0.977425998525299,0.9779796759223955,0.9774330042313117,0.97784,1,0.9943661971830986,0.9770114942528736,0.9941520467836257,0.96045197740113,"[1535537, 1516511]","[1523327, 1517011, 1539946, 1540416, 1539395, 1540090, 1539924, 1523752, 1523439, 1517601, 1539826, 1542247, 1523750, 1541011]","{'here': 0.315344399487636, 'mean_sen_len': 0.07888173892012725, 'for': 0.04373344845087942, 'the': 0.04074289636471443, 'DT': 0.02882072816203544, 'or': 0.02590057940652372, 'your': 0.025222195307742553, 'when': 0.01898604711281657, 'sentiment': 0.017496582179460075, 'such': 0.015623688107454462}"
0.9844851904090268,0.9844834617979031,0.9846737479941404,0.9844851904090268,0.98466,1,0.9943661971830986,0.9843081312410842,0.9942363112391931,0.9745762711864406,"[1529363, 1522731]","[1517072, 1529944, 1541748, 1542612, 1539917, 1529652, 1523659, 1540879, 1541907]","{'here': 0.3081965866451139, 'mean_sen_len': 0.09030010884283401, 'the': 0.050651490750484064, 'for': 0.040711385232169876, 'DT': 0.030593800988900126, 'your': 0.026242611971237423, 'PRP$': 0.022651877108827354, 'or': 0.019395806705893547, 'when': 0.017017314143273055, 'such': 0.015864387308143598}"
